,City,Building,Furnace_id,num_Furnace_modules,PM_id,num_CHP_modules,oversize_ratio_electricity,oversize_ratio_heat
0,albuquerque,full_service_restaurant,None,0,RE1,1,2.140286126073537,1.9491054763777662
1,albuquerque,full_service_restaurant,None,0,RE2,1,13.54801117804549,8.067047704346592
2,albuquerque,full_service_restaurant,None,0,RE3,1,23.99260747328435,12.52048417865093
3,albuquerque,full_service_restaurant,None,0,RE4,1,71.16451369194512,31.181090675166008
4,albuquerque,full_service_restaurant,None,0,RE5,1,199.92412703652911,78.02826109219164
5,albuquerque,full_service_restaurant,None,0,GT1,1,75.23105733148483,60.24248159014833
6,albuquerque,full_service_restaurant,None,0,GT2,1,98.45316179938271,78.83795599279725
7,albuquerque,full_service_restaurant,None,0,GT3,1,170.47378994175725,113.1079830123992
8,albuquerque,full_service_restaurant,None,0,GT4,1,242.92247530934648,161.17710071446714
9,albuquerque,full_service_restaurant,None,0,GT5,1,465.4052181146907,240.1720253083957
10,albuquerque,full_service_restaurant,None,0,GT6,1,921.7998316386117,415.6550691133801
11,albuquerque,full_service_restaurant,None,0,MT1,4,2.5683433512882448,1.4659022650444689
12,albuquerque,full_service_restaurant,None,0,MT2,2,2.7823719638955984,1.4323685530990071
13,albuquerque,full_service_restaurant,None,0,MT3,1,4.280572252147074,1.5395320591791226
14,albuquerque,full_service_restaurant,None,0,MT4,1,5.350715315183843,2.1950359437514835
15,albuquerque,full_service_restaurant,None,0,MT5,1,7.127152799824879,2.635527100463753
16,albuquerque,full_service_restaurant,None,0,MT6,1,21.40286126073537,7.697660295895613
17,albuquerque,full_service_restaurant,None,0,FC1,222,3.3260046399182763,1.247482827552843
18,albuquerque,full_service_restaurant,None,0,FC2,411,13.194863967243357,1.246148751031058
19,albuquerque,full_service_restaurant,None,0,FC3,1,6.420858378220611,1.2580504513441335
20,albuquerque,full_service_restaurant,None,0,FC4,1,8.561144504294148,3.0790641183582452
21,albuquerque,full_service_restaurant,None,0,FC5,1,29.96400576502952,7.284267428153069
22,albuquerque,hospital,None,0,RE1,13,1.1601823947295784,1.2900871982245383
23,albuquerque,hospital,None,0,RE2,4,2.2596783257348405,1.6429145964608587
24,albuquerque,hospital,None,0,RE3,2,2.00086840691055,1.2749451203058788
25,albuquerque,hospital,None,0,RE4,1,2.967389586519883,1.5875655779312485
26,albuquerque,hospital,None,0,RE5,1,8.336356730129994,3.9727597314116747
27,albuquerque,hospital,None,0,GT1,1,3.136954705749591,3.0672079786435265
28,albuquerque,hospital,None,0,GT2,1,4.105260781350816,4.013984836916137
29,albuquerque,hospital,None,0,GT3,1,7.108348287708533,5.758821661832757
30,albuquerque,hospital,None,0,GT4,1,10.129284753985166,8.20623049112389
31,albuquerque,hospital,None,0,GT5,1,19.406281671842063,12.228207285427539
32,albuquerque,hospital,None,0,GT6,1,38.43684273739093,21.162815851807053
33,albuquerque,hospital,None,0,MT1,63,1.686726712337618,1.2578083052267972
34,albuquerque,hospital,None,0,MT2,32,1.8562918315673256,1.2485434033001344
35,albuquerque,hospital,None,0,MT3,15,2.6773439878374887,1.2580818012705517
36,albuquerque,hospital,None,0,MT4,11,2.4542319888510313,1.3154162583597044
37,albuquerque,hospital,None,0,MT5,9,2.674666643849651,1.2922272045247538
38,albuquerque,hospital,None,0,MT6,3,2.6773439878374887,1.2580818012705517
39,albuquerque,hospital,None,0,FC1,4062,2.5375866316723714,1.2435132140118386
40,albuquerque,hospital,None,0,FC2,7528,10.077522770220307,1.2434735708586766
41,albuquerque,hospital,None,0,FC3,19,5.086953576891228,1.3022085510166084
42,albuquerque,hospital,None,0,FC4,8,2.8558335870266545,1.3419539213552552
43,albuquerque,hospital,None,0,FC5,4,4.997708777296646,1.5873575319734614
44,albuquerque,large_hotel,None,0,RE1,8,2.4378069839890393,1.3578560719130286
45,albuquerque,large_hotel,None,0,RE2,2,3.8578295521626544,1.4049893451784712
46,albuquerque,large_hotel,None,0,RE3,2,6.831954072629283,2.180617682228645
47,albuquerque,large_hotel,None,0,RE4,1,10.132135277204444,2.7153118324841015
48,albuquerque,large_hotel,None,0,RE5,1,28.46444379680202,6.794857268431929
49,albuquerque,large_hotel,None,0,GT1,1,10.711114435901841,5.246035964040713
50,albuquerque,large_hotel,None,0,GT2,1,14.017390157936976,6.865367122215443
