,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,fuel_CHP,PM_id,year
144,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
145,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
146,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
147,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
148,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
149,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
150,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
151,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
152,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
153,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
154,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
155,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
156,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
157,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
158,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
159,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
160,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
161,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
162,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
163,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
