,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,fuel_CHP,year
0,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
1,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
2,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
3,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
4,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
5,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
6,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
7,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
8,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
9,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
10,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
11,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
12,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
13,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
14,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
15,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
16,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
17,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
18,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
19,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
20,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
21,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
22,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
23,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
24,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
25,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
26,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
27,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
28,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
29,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
30,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,0,0,0,324100.49000843585,183788.6010053266,0,0,2050
