Power,PLR_E,Heat,PLR_H,Fuel,PLR_F
0,0,0,0,0,0
30,0.3,22.45714286,0.423719677,85.71428571,0.342857143
40,0.4,24.59102902,0.46398168,105.5408971,0.422163588
50,0.5,28.26086957,0.533223954,127.8772379,0.511508951
60,0.6,32.03007519,0.604341041,150.3759398,0.601503759
70,0.7,36.83291771,0.694960711,174.563591,0.698254364
80,0.8,42.09476309,0.794240813,199.5012469,0.798004988
90,0.9,47.35660848,0.893520915,224.4389027,0.897755611
100,1,53,1,250,1
