CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT596,EVAPCO,AT 212-4I24,674,2963,(2) 10,10,2,20,14.91402067,138600,264587.52,2022,459246.1576,1.735706019
CT597,EVAPCO,AT 212-4J24,775,3407,(2) 15,15,2,30,22.37103101,157500,300667.64,2325,528064.9439,1.75630787
CT598,EVAPCO,AT 212-4K24,843,3706,(2) 20,20,2,40,29.82804134,172400,329111.75,2529,574398.3841,1.745298905
CT599,EVAPCO,AT 212-4L24,908,3992,(2) 25,25,2,50,37.28505168,184800,352783.37,2724,618687.702,1.753732639
CT600,EVAPCO,AT 212-4M24,963,4233,(2) 30,30,2,60,44.74206201,195600,373400.57,2889,656163.2786,1.757263708
CT601,EVAPCO,AT 212-4N24,"1,030",4528,(2) 40,40,2,80,59.65608268,214100,408717.09,3090,701815.3448,1.717117683
CT602,EVAPCO,AT 312-2I36,851,3741,(3) 10,10,3,30,22.37103101,216800,413871.39,2553,579849.3771,1.401037583
CT603,EVAPCO,AT 312-2J36,"1,014",4458,(3) 15,15,3,45,33.55654651,246400,470377.82,3042,690913.3588,1.468847656
CT604,EVAPCO,AT 312-2K36,"1,106",4862,(3) 20,20,3,60,44.74206201,270100,515621.14,3318,753599.778,1.461537779
CT605,EVAPCO,AT 312-2L36,"1,187",5218,(3) 25,25,3,75,55.92757752,290000,553610.26,3561,808791.0818,1.460939476
CT606,EVAPCO,AT 312-2M36,"1,257",5526,(3) 30,30,3,90,67.11309302,307200,586445.07,3771,856487.2702,1.460473124
CT607,EVAPCO,AT 312-3I36,960,4220,(3) 10,10,3,30,22.37103101,213500,407571.69,2880,654119.1563,1.604918033
CT608,EVAPCO,AT 312-3J36,"1,122",4932,(3) 15,15,3,45,33.55654651,242300,462550.92,3366,764501.7639,1.652794831
CT609,EVAPCO,AT 312-3K36,"1,224",5381,(3) 20,20,3,60,44.74206201,265300,506457.94,3672,834001.9243,1.646734828
CT610,EVAPCO,AT 312-3L36,"1,316",5785,(3) 25,25,3,75,55.92757752,284500,543110.75,3948,896688.3434,1.651022994
CT611,EVAPCO,AT 312-3M36,"1,398",6146,(3) 30,30,3,90,67.11309302,301300,575181.97,4194,952561.0213,1.656103759
CT612,EVAPCO,AT 312-4I36,"1,021",4488,(3) 10,10,3,30,22.37103101,209900,400699.29,3063,695682.9777,1.736172235
CT613,EVAPCO,AT 312-4J36,"1,174",5161,(3) 15,15,3,45,33.55654651,238500,455296.71,3522,799933.2182,1.756949249
CT614,EVAPCO,AT 312-4K36,"1,277",5614,(3) 20,20,3,60,44.74206201,261100,498440.13,3831,870114.7527,1.745675547
CT615,EVAPCO,AT 312-4L36,"1,375",6045,(3) 25,25,3,75,55.92757752,279900,534329.35,4125,936889.4165,1.753393139
CT616,EVAPCO,AT 312-4M36,"1,458",6409,(3) 30,30,3,90,67.11309302,296200,565446.06,4374,993443.4686,1.756919944
CT617,EVAPCO,AT 312-4N36,"1,560",6858,(3) 40,40,3,120,89.48412402,324200,618898.09,4680,1062943.629,1.717477637
CT618,EVAPCO,AT 424-2I24,"1,114",4897,(4) 10,10,4,40,29.82804134,283500,541201.75,3342,759050.7709,1.402528292
CT619,EVAPCO,AT 424-2J24,"1,327",5834,(4) 15,15,4,60,44.74206201,322300,615270.99,3981,904183.4587,1.469569468
CT620,EVAPCO,AT 424-2K24,"1,449",6370,(4) 20,20,4,80,59.65608268,353400,674640.92,4347,987311.1015,1.46346164
CT621,EVAPCO,AT 424-2L24,"1,555",6836,(4) 25,25,4,100,74.57010335,379400,724274.94,4665,1059536.758,1.462893027
CT622,EVAPCO,AT 424-2M24,"1,647",7240,(4) 30,30,4,120,89.48412402,401900,767227.46,4941,1122223.177,1.462699443
CT623,EVAPCO,AT 424-3I24,"1,257",5526,(4) 10,10,4,40,29.82804134,279200,532993.05,3771,856487.2702,1.60693891
CT624,EVAPCO,AT 424-3J24,"1,471",6467,(4) 15,15,4,60,44.74206201,317000,605153.28,4413,1002301.332,1.656276781
CT625,EVAPCO,AT 424-3K24,"1,605",7056,(4) 20,20,4,80,59.65608268,347000,662423.31,4815,1093605.464,1.650916336
CT626,EVAPCO,AT 424-3L24,"1,727",7592,(4) 25,25,4,100,74.57010335,372200,710530.13,5181,1176733.107,1.656133995
CT627,EVAPCO,AT 424-3M24,"1,835",8067,(4) 30,30,4,120,89.48412402,394100,752337.25,5505,1250321.512,1.66191626
CT628,EVAPCO,AT 424-4I24,"1,340",5891,(4) 10,10,4,40,29.82804134,274500,524020.75,4020,913041.3223,1.74237629
CT629,EVAPCO,AT 424-4J24,"1,542",6779,(4) 15,15,4,60,44.74206201,312000,595608.28,4626,1050678.895,1.76404347
CT630,EVAPCO,AT 424-4K24,"1,678",7377,(4) 20,20,4,80,59.65608268,341600,652114.71,5034,1143345.775,1.753289361
CT631,EVAPCO,AT 424-4L24,"1,807",7944,(4) 25,25,4,100,74.57010335,366200,699076.13,5421,1231243.037,1.761243145
CT632,EVAPCO,AT 424-4M24,"1,916",8423,(4) 30,30,4,120,89.48412402,387500,739737.85,5748,1305512.816,1.76483172
CT633,EVAPCO,AT 424-4N24,"2,050",9012,(4) 40,40,4,160,119.3121654,424300,809989.08,6150,1396816.948,1.724488619
CT634,EVAPCO,AT 112-2I14,299,1314,10,10,1,10,7.457010335,77800,148520.27,897,203730.8622,1.371737762
CT635,EVAPCO,AT 112-2J14,359,1578,15,15,1,15,11.1855155,88500,168946.58,1077,244613.3095,1.447873705
CT636,EVAPCO,AT 112-2K14,394,1732,20,20,1,20,14.91402067,97000,185173.09,1182,268461.4037,1.449786297
CT637,EVAPCO,AT 112-2L14,425,1868,25,25,1,25,18.64252584,104100,198726.99,1275,289584.0015,1.457195105
CT638,EVAPCO,AT 112-2M14,450,1978,30,30,1,30,22.37103101,110400,210753.7,1350,306618.3545,1.454865829
CT639,EVAPCO,AT 112-3I14,344,1512,10,10,1,10,7.457010335,76600,146229.47,1032,234392.6977,1.602910139
CT640,EVAPCO,AT 112-3J14,405,1780,15,15,1,15,11.1855155,87000,166083.08,1215,275956.5191,1.661557112
