CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT716,EVAPCO,AT 112-4M18,642,2822,30,30,1,30,22.37103101,132800,253515.32,1926,437442.1858,1.72550593
CT717,EVAPCO,AT 112-4N18,705,3099,40,40,1,40,29.82804134,145200,277186.93,2115,480368.7554,1.733013731
CT718,EVAPCO,AT 112-4O18,757,3328,50,50,1,50,37.28505168,155600,297040.54,2271,515800.2097,1.736464024
CT719,EVAPCO,AT 112-4P18,785,3451,60,60,1,60,44.74206201,164900,314794.25,2355,534878.6851,1.699137419
CT720,EVAPCO,AT 224-2J18,877,3855,(2) 15,15,2,30,22.37103101,219400,418834.8,2631,597565.1042,1.426732234
CT721,EVAPCO,AT 224-2K18,994,4370,(2) 20,20,2,40,29.82804134,240300,458732.91,2982,677285.8764,1.476427469
CT722,EVAPCO,AT 224-2L18,"1,051",4620,(2) 25,25,2,50,37.28505168,258200,492904.03,3153,716124.2013,1.452867407
CT723,EVAPCO,AT 224-2M18,"1,107",4866,(2) 30,30,2,60,44.74206201,273700,522493.54,3321,754281.1521,1.443618127
CT724,EVAPCO,AT 224-2N18,"1,219",5359,(2) 40,40,2,80,59.65608268,299800,572318.47,3657,830595.0536,1.451281236
CT725,EVAPCO,AT 224-3J18,977,4295,(2) 15,15,2,30,22.37103101,216100,412535.09,2931,665702.5163,1.613686999
CT726,EVAPCO,AT 224-3K18,"1,092",4801,(2) 20,20,2,40,29.82804134,236500,451478.71,3276,744060.5403,1.648052326
CT727,EVAPCO,AT 224-3L18,"1,161",5104,(2) 25,25,2,50,37.28505168,253800,484504.43,3483,791075.3546,1.632751551
CT728,EVAPCO,AT 224-3M18,"1,227",5394,(2) 30,30,2,60,44.74206201,268800,513139.44,3681,836046.0466,1.62927653
CT729,EVAPCO,AT 224-3N18,"1,350",5935,(2) 40,40,2,80,59.65608268,294100,561437.16,4050,919855.0635,1.638393616
CT730,EVAPCO,AT 224-3O18,"1,448",6366,(2) 50,50,2,100,74.57010335,315700,602671.58,4344,986629.7274,1.637093496
CT731,EVAPCO,AT 224-4J18,"1,035",4550,(2) 15,15,2,30,22.37103101,212500,405662.69,3105,705222.2154,1.738444853
CT732,EVAPCO,AT 224-4K18,"1,145",5033,(2) 20,20,2,40,29.82804134,232700,444224.51,3435,780173.3687,1.756259177
CT733,EVAPCO,AT 224-4L18,"1,213",5332,(2) 25,25,2,50,37.28505168,249800,476868.42,3639,826506.8089,1.733196766
CT734,EVAPCO,AT 224-4M18,"1,283",5640,(2) 30,30,2,60,44.74206201,264500,504930.74,3849,874202.9974,1.731332506
CT735,EVAPCO,AT 224-4N18,"1,409",6194,(2) 40,40,2,80,59.65608268,289300,552273.96,4227,960056.1367,1.738369376
CT736,EVAPCO,AT 224-4O18,"1,513",6651,(2) 50,50,2,100,74.57010335,310000,591790.28,4539,1030919.045,1.742034442
CT737,EVAPCO,AT 224-4P18,"1,570",6902,(2) 60,60,2,120,89.48412402,328500,627106.79,4710,1069757.37,1.705861555
CT738,EVAPCO,AT 212-2J36,877,3855,(2) 15,15,2,30,22.37103101,220200,420362,2631,597565.1042,1.421548829
CT739,EVAPCO,AT 212-2K36,994,4370,(2) 20,20,2,40,29.82804134,241200,460451.02,2982,677285.8764,1.470918411
CT740,EVAPCO,AT 212-2L36,"1,051",4620,(2) 25,25,2,50,37.28505168,259200,494813.03,3153,716124.2013,1.447262209
CT741,EVAPCO,AT 212-2M36,"1,107",4866,(2) 30,30,2,60,44.74206201,274700,524402.55,3321,754281.1521,1.438362873
CT742,EVAPCO,AT 212-2N36,"1,219",5359,(2) 40,40,2,80,59.65608268,300900,574418.37,3657,830595.0536,1.445975788
CT743,EVAPCO,AT 212-3J36,977,4295,(2) 15,15,2,30,22.37103101,216900,414062.29,2931,665702.5163,1.607735179
CT744,EVAPCO,AT 212-3K36,"1,092",4801,(2) 20,20,2,40,29.82804134,237300,453005.91,3276,744060.5403,1.642496313
CT745,EVAPCO,AT 212-3L36,"1,161",5104,(2) 40,40,2,80,59.65608268,254700,486222.53,3483,791075.3546,1.626982111
CT746,EVAPCO,AT 212-3M36,"1,227",5394,(2) 50,50,2,100,74.57010335,269800,515048.44,3681,836046.0466,1.623237699
CT747,EVAPCO,AT 212-3N36,"1,350",5935,(2) 30,30,2,60,44.74206201,295200,563537.06,4050,919855.0635,1.632288491
CT748,EVAPCO,AT 212-3O36,"1,448",6366,(2) 25,25,2,50,37.28505168,316900,604962.38,4344,986629.7274,1.630894341
CT749,EVAPCO,AT 212-4J36,"1,035",4550,(2) 15,15,2,30,22.37103101,213300,407189.89,3105,705222.2154,1.731924666
CT750,EVAPCO,AT 212-4K36,"1,145",5033,(2) 20,20,2,40,29.82804134,233600,445942.61,3435,780173.3687,1.749492767
CT751,EVAPCO,AT 212-4L36,"1,213",5332,(2) 25,25,2,50,37.28505168,250800,478777.42,3639,826506.8089,1.726286093
CT752,EVAPCO,AT 212-4M36,"1,283",5640,(2) 30,30,2,60,44.74206201,265500,506839.74,3849,874202.9974,1.72481148
CT753,EVAPCO,AT 212-4N36,"1,409",6194,(2) 40,40,2,80,59.65608268,290400,554373.86,4227,960056.1367,1.731784643
CT754,EVAPCO,AT 212-4O36,"1,513",6651,(2) 50,50,2,100,74.57010335,311200,594081.08,4539,1030919.045,1.735317086
CT755,EVAPCO,AT 212-4P36,"1,570",6902,(2) 60,60,2,120,89.48412402,329700,629397.59,4710,1069757.37,1.699652778
CT756,EVAPCO,AT 312-2J54,"1,324",5820,(3) 15,15,3,45,33.55654651,330500,630924.8,3972,902139.3364,1.429868255
CT757,EVAPCO,AT 312-2K54,"1,499",6590,(3) 20,20,3,60,44.74206201,362000,691058.32,4497,1021379.808,1.477993641
CT758,EVAPCO,AT 312-2L54,"1,586",6972,(3) 25,25,3,75,55.92757752,389000,742601.35,4758,1080659.356,1.455234844
CT759,EVAPCO,AT 312-2M54,"1,670",7341,(3) 30,30,3,90,67.11309302,412300,787081.07,5010,1137894.782,1.445714842
CT760,EVAPCO,AT 312-2N54,"1,840",8089,(3) 40,40,3,120,89.48412402,451700,862295.7,5520,1253728.383,1.453942513
CT761,EVAPCO,AT 312-3J54,"1,473",6475,(3) 15,15,3,45,33.55654651,325600,621570.69,4419,1003664.08,1.61472234
CT762,EVAPCO,AT 312-3K54,"1,648",7245,(3) 20,20,3,60,44.74206201,356200,679986.12,4944,1122904.552,1.651363934
CT763,EVAPCO,AT 312-3L54,"1,752",7702,(3) 25,25,3,75,55.92757752,382300,729811.04,5256,1193767.46,1.635721292
CT764,EVAPCO,AT 312-3M54,"1,851",8137,(3) 30,30,3,90,67.11309302,404900,772954.46,5553,1261223.498,1.631691853
CT765,EVAPCO,AT 312-3N54,"2,036",8950,(3) 40,40,3,120,89.48412402,443100,845878.3,6108,1387277.711,1.640044102
CT766,EVAPCO,AT 312-3O54,"2,182",9592,(3) 50,50,3,150,111.855155,475700,908111.73,6546,1486758.332,1.637197595
CT767,EVAPCO,AT 312-4J54,"1,560",6858,(3) 15,15,3,45,33.55654651,320200,611262.09,4680,1062943.629,1.738932698
CT768,EVAPCO,AT 312-4K54,"1,725",7583,(3) 20,20,3,60,44.74206201,350500,669104.81,5175,1175370.359,1.756631152
CT769,EVAPCO,AT 312-4L54,"1,828",8036,(3) 25,25,3,75,55.92757752,376300,718357.04,5484,1245551.893,1.733889738
CT770,EVAPCO,AT 312-4M54,"1,935",8506,(3) 30,30,3,90,67.11309302,398500,760736.86,5805,1318458.924,1.733134018
CT771,EVAPCO,AT 312-4N54,"2,124",9337,(3) 40,40,3,120,89.48412402,435800,831942.59,6372,1447238.633,1.739589548
CT772,EVAPCO,AT 312-4O54,"2,281",10027,(3) 50,50,3,150,111.855155,467000,891503.42,6843,1554214.37,1.743363334
CT773,EVAPCO,AT 312-4P54,"2,367",10405,(3) 60,60,3,180,134.226186,494700,944382.74,7101,1612812.545,1.707795444
CT774,EVAPCO,AT 424-2J36,"1,687",7416,(4) 15,15,4,60,44.74206201,423100,807698.28,5061,1149478.142,1.423152894
CT775,EVAPCO,AT 424-2K36,"1,914",8414,(4) 20,20,4,80,59.65608268,463300,884440.11,5742,1304150.068,1.474548754
CT776,EVAPCO,AT 424-2L36,"2,023",8893,(4) 25,25,4,100,74.57010335,498000,950682.45,6069,1378419.847,1.449926686
CT777,EVAPCO,AT 424-2M36,"2,133",9377,(4) 30,30,4,120,89.48412402,527900,1007761.57,6399,1453371,1.442177437
CT778,EVAPCO,AT 424-2N36,"2,350",10331,(4) 40,40,4,160,119.3121654,578400,1104166.12,7050,1601229.185,1.45017055
CT779,EVAPCO,AT 424-3J36,"1,883",8278,(4) 15,15,4,60,44.74206201,416900,795862.47,5649,1283027.47,1.612122087
CT780,EVAPCO,AT 424-3K36,"2,108",9267,(4) 20,20,4,80,59.65608268,456200,870886.21,6324,1436336.647,1.649281656
CT781,EVAPCO,AT 424-3L36,"2,246",9874,(4) 25,25,4,100,74.57010335,489600,934646.84,6738,1530366.276,1.637373834
CT782,EVAPCO,AT 424-3M36,"2,373",10432,(4) 30,30,4,120,89.48412402,518600,990007.86,7119,1616900.789,1.633220148
CT783,EVAPCO,AT 424-3N36,"2,614",11491,(4) 40,40,4,160,119.3121654,567400,1083167.11,7842,1781111.953,1.64435565
CT784,EVAPCO,AT 424-3O36,"2,806",12335,(4) 50,50,4,200,149.1402067,608800,1162199.74,8418,1911935.784,1.645100847
CT785,EVAPCO,AT 424-4J36,"2,005",8814,(4) 15,15,4,60,44.74206201,409800,782308.57,6015,1366155.113,1.746312353
CT786,EVAPCO,AT 424-4K36,"2,221",9764,(4) 20,20,4,80,59.65608268,448800,856759.6,6663,1513331.923,1.766343699
CT787,EVAPCO,AT 424-4L36,"2,353",10344,(4) 25,25,4,100,74.57010335,481900,919947.53,7059,1603273.307,1.742787771
CT788,EVAPCO,AT 424-4M36,"2,491",10951,(4) 30,30,4,120,89.48412402,510300,974163.16,7473,1697302.936,1.742318959
CT789,EVAPCO,AT 424-4N36,"2,736",12028,(4) 40,40,4,160,119.3121654,558300,1065795.2,8208,1864239.595,1.749153681
CT790,EVAPCO,AT 424-4O36,"2,938",12916,(4) 50,50,4,200,149.1402067,598300,1142155.23,8814,2001877.168,1.752718989
CT791,EVAPCO,AT 424-4P36,"3,049",13404,(4) 60,60,4,240,178.968248,633900,1210115.67,9147,2077509.695,1.71678605
CT792,EVAPCO,AT 112-2K20,459,2018,20,20,1,20,14.91402067,123900,236525.21,1377,312750.7216,1.322272246
CT793,EVAPCO,AT 112-2L20,506,2224,25,25,1,25,18.64252584,133000,253897.12,1518,344775.3053,1.357933114
CT794,EVAPCO,AT 112-2M20,544,2391,30,30,1,30,22.37103101,140900,268978.23,1632,370667.5219,1.378057724
CT795,EVAPCO,AT 112-2N20,625,2748,40,40,1,40,29.82804134,154100,294177.04,1875,425858.8257,1.44762769
CT796,EVAPCO,AT 112-2O20,679,2985,50,50,1,50,37.28505168,165300,315557.85,2037,462653.0282,1.466143313
CT797,EVAPCO,AT 112-3K20,536,2356,20,20,1,20,14.91402067,121800,232516.31,1608,365216.5289,1.570713602
CT798,EVAPCO,AT 112-3L20,585,2572,25,25,1,25,18.64252584,130700,249506.42,1755,398603.8609,1.597569577
CT799,EVAPCO,AT 112-3M20,623,2739,30,30,1,30,22.37103101,138300,264014.82,1869,424496.0775,1.607849406
CT800,EVAPCO,AT 112-3N20,698,3068,40,40,1,40,29.82804134,151200,288640.94,2094,475599.1365,1.647718943
CT801,EVAPCO,AT 112-3O20,757,3328,50,50,1,50,37.28505168,162100,309449.04,2271,515800.2097,1.666834066
CT802,EVAPCO,AT 112-4K20,572,2515,20,20,1,20,14.91402067,119800,228698.31,1716,389745.9973,1.704192752
CT803,EVAPCO,AT 112-4L20,618,2717,25,25,1,25,18.64252584,128500,245306.61,1854,421089.2069,1.716583171
CT804,EVAPCO,AT 112-4M20,655,2879,30,30,1,30,22.37103101,136100,259815.02,1965,446300.0493,1.717760761
CT805,EVAPCO,AT 112-4N20,728,3200,40,40,1,40,29.82804134,148800,284059.33,2184,496040.3602,1.74625616
CT806,EVAPCO,AT 112-4O20,788,3464,50,50,1,50,37.28505168,159500,304485.64,2364,536922.8074,1.763376437
CT807,EVAPCO,AT 112-4P20,817,3592,60,60,1,60,44.74206201,169000,322621.15,2451,556682.657,1.725499569
CT808,EVAPCO,AT 224-2K20,893,3926,(2) 20,20,2,40,29.82804134,244300,466368.92,2679,608467.0902,1.304690485
CT809,EVAPCO,AT 224-2L20,986,4335,(2) 25,25,2,50,37.28505168,262200,500540.03,2958,671834.8834,1.342220077
CT810,EVAPCO,AT 224-2M20,"1,061",4664,(2) 30,30,2,60,44.74206201,277900,530511.35,3183,722937.9425,1.362719091
CT811,EVAPCO,AT 224-2N20,"1,220",5363,(2) 40,40,2,80,59.65608268,304000,580336.27,3660,831276.4278,1.432404742
CT812,EVAPCO,AT 224-2O20,"1,324",5820,(2) 50,50,2,100,74.57010335,326100,622525.19,3972,902139.3364,1.449161172
CT813,EVAPCO,AT 224-3K20,"1,046",4598,(2) 20,20,2,40,29.82804134,240300,458732.91,3138,712717.3307,1.553665123
CT814,EVAPCO,AT 224-3L20,"1,142",5020,(2) 25,25,2,50,37.28505168,257800,492140.43,3426,778129.2463,1.581112216
CT815,EVAPCO,AT 224-3M20,"1,219",5359,(2) 30,30,2,60,44.74206201,272900,520966.34,3657,830595.0536,1.594335341
CT816,EVAPCO,AT 224-3N20,"1,366",6005,(2) 40,40,2,80,59.65608268,298300,569454.97,4098,930757.0494,1.634469983
CT817,EVAPCO,AT 224-3O20,"1,482",6515,(2) 50,50,2,100,74.57010335,319800,610498.49,4446,1009796.447,1.654052337
CT818,EVAPCO,AT 224-4K20,"1,119",4919,(2) 20,20,2,40,29.82804134,236300,451096.91,3357,762457.6415,1.690230242
CT819,EVAPCO,AT 224-4L20,"1,210",5319,(2) 25,25,2,50,37.28505168,253500,483931.73,3630,824462.6866,1.703675625
CT820,EVAPCO,AT 224-4M20,"1,284",5645,(2) 30,30,2,60,44.74206201,268500,512566.74,3852,874884.3715,1.706869181
CT821,EVAPCO,AT 224-4N20,"1,428",6278,(2) 40,40,2,80,59.65608268,293700,560673.56,4284,973002.245,1.735416667
CT822,EVAPCO,AT 224-4O20,"1,545",6792,(2) 50,50,2,100,74.57010335,314700,600762.58,4635,1052723.017,1.752311229
CT823,EVAPCO,AT 224-4P20,"1,603",7047,(2) 60,60,2,120,89.48412402,333500,636651.8,4809,1092242.716,1.715604541
CT824,EVAPCO,AT 212-2K40,918,4036,(2) 20,20,2,40,29.82804134,246500,470568.72,2754,625501.4432,1.32924569
CT825,EVAPCO,AT 212-2L40,"1,013",4453,(2) 25,25,2,50,37.28505168,264600,505121.64,3039,690231.9847,1.366466876
CT826,EVAPCO,AT 212-2M40,"1,088",4783,(2) 30,30,2,60,44.74206201,280300,535092.95,3264,741335.0438,1.385432275
CT827,EVAPCO,AT 212-2N40,"1,250",5495,(2) 40,40,2,80,59.65608268,306600,585299.67,3750,851717.6514,1.455182173
CT828,EVAPCO,AT 212-2O40,"1,357",5965,(2) 50,50,2,100,74.57010335,329000,628061.29,4071,924624.6824,1.472188608
CT829,EVAPCO,AT 212-3K40,"1,073",4717,(2) 20,20,2,40,29.82804134,242400,462741.82,3219,731114.432,1.579961883
CT830,EVAPCO,AT 212-3L40,"1,170",5143,(2) 25,25,2,50,37.28505168,260000,496340.23,3510,797207.7217,1.606171875
CT831,EVAPCO,AT 212-3M40,"1,246",5478,(2) 30,30,2,60,44.74206201,275300,525547.95,3738,848992.1549,1.615441866
CT832,EVAPCO,AT 212-3N40,"1,396",6137,(2) 40,40,2,80,59.65608268,300900,574418.37,4188,951198.2731,1.655932896
CT833,EVAPCO,AT 212-3O40,"1,515",6660,(2) 50,50,2,100,74.57010335,322600,615843.69,4545,1032281.793,1.676207474
CT834,EVAPCO,AT 212-4K40,"1,143",5025,(2) 20,20,2,40,29.82804134,238300,454914.91,3429,778810.6204,1.711991843
CT835,EVAPCO,AT 212-4L40,"1,235",5429,(2) 25,25,2,50,37.28505168,255700,488131.53,3705,841497.0396,1.72391454
CT836,EVAPCO,AT 212-4M40,"1,310",5759,(2) 30,30,2,60,44.74206201,270900,517148.34,3930,892600.0987,1.726003984
CT837,EVAPCO,AT 212-4N40,"1,457",6405,(2) 40,40,2,80,59.65608268,296200,565446.06,4371,992762.0945,1.755714924
CT838,EVAPCO,AT 212-4O40,"1,576",6928,(2) 50,50,2,100,74.57010335,317300,605725.98,4728,1073845.615,1.772824089
CT839,EVAPCO,AT 212-4P40,"1,635",7188,(2) 60,60,2,120,89.48412402,336300,641997,4905,1114046.688,1.735283322
CT840,EVAPCO,AT 312-2K60,"1,368",6014,(3) 20,20,3,60,44.74206201,369800,705948.53,4104,932119.7977,1.320379259
CT841,EVAPCO,AT 312-2L60,"1,508",6629,(3) 25,25,3,75,55.92757752,396900,757682.45,4524,1027512.175,1.356125073
CT842,EVAPCO,AT 312-2M60,"1,622",7130,(3) 30,30,3,90,67.11309302,420600,802925.78,4866,1105188.824,1.376452043
CT843,EVAPCO,AT 312-2N60,"1,865",8199,(3) 40,40,3,120,89.48412402,460000,878140.41,5595,1270762.736,1.447106544
CT844,EVAPCO,AT 312-2O60,"2,023",8893,(3) 50,50,3,150,111.855155,493600,942282.84,6069,1378419.847,1.462851478
CT845,EVAPCO,AT 312-3K60,"1,600",7034,(3) 20,20,3,60,44.74206201,363700,694303.63,4800,1090198.594,1.570204381
CT846,EVAPCO,AT 312-3L60,"1,745",7671,(3) 25,25,3,75,55.92757752,390100,744701.25,5235,1188997.841,1.596610511
CT847,EVAPCO,AT 312-3M60,"1,859",8172,(3) 30,30,3,90,67.11309302,413000,788417.37,5577,1266674.491,1.60660399
CT848,EVAPCO,AT 312-3N60,"2,083",9157,(3) 40,40,3,120,89.48412402,451400,861723,6249,1419302.294,1.647051649
CT849,EVAPCO,AT 312-3O60,"2,260",9935,(3) 50,50,3,150,111.855155,484000,923956.43,6780,1539905.514,1.666642992
CT850,EVAPCO,AT 312-4K60,"1,707",7504,(3) 20,20,3,60,44.74206201,357600,682658.72,5121,1163105.625,1.703787839
CT851,EVAPCO,AT 312-4L60,"1,844",8106,(3) 25,25,3,75,55.92757752,383700,732483.64,5532,1256453.879,1.715333703
CT852,EVAPCO,AT 312-4M60,"1,955",8594,(3) 30,30,3,90,67.11309302,406400,775817.96,5865,1332086.407,1.717008976
CT853,EVAPCO,AT 312-4N60,"2,174",9557,(3) 40,40,3,120,89.48412402,444400,848360,6522,1481307.339,1.746083436
CT854,EVAPCO,AT 312-4O60,"2,352",10340,(3) 50,50,3,150,111.855155,476100,908875.33,7056,1602591.933,1.763269271
CT855,EVAPCO,AT 312-4P60,"2,440",10726,(3) 60,60,3,180,134.226186,504600,963281.85,7320,1662552.856,1.725925651
CT856,EVAPCO,AT 424-2K40,"1,733",7618,(4) 20,20,4,80,59.65608268,472200,901430.22,5199,1180821.352,1.309942049
CT857,EVAPCO,AT 424-2L40,"1,919",8436,(4) 25,25,4,100,74.57010335,506800,967481.65,5757,1307556.938,1.351505669
CT858,EVAPCO,AT 424-2M40,"2,064",9073,(4) 30,30,4,120,89.48412402,537000,1025133.48,6192,1406356.186,1.371876164
CT859,EVAPCO,AT 424-2N40,"2,379",10458,(4) 40,40,4,160,119.3121654,587500,1121538.03,7137,1620989.034,1.445326862
CT860,EVAPCO,AT 424-2O40,"2,584",11359,(4) 50,50,4,200,149.1402067,630400,1203434.16,7752,1760670.729,1.463038679
CT861,EVAPCO,AT 424-3K40,"2,038",8959,(4) 20,20,4,80,59.65608268,464500,886730.92,6114,1388640.459,1.566022381
CT862,EVAPCO,AT 424-3L40,"2,230",9803,(4) 25,25,4,100,74.57010335,498300,951255.15,6690,1519464.29,1.597325699
CT863,EVAPCO,AT 424-3M40,"2,380",10463,(4) 30,30,4,120,89.48412402,527600,1007188.87,7140,1621670.408,1.610095637
CT864,EVAPCO,AT 424-3N40,"2,670",11738,(4) 40,40,4,160,119.3121654,576800,1101111.72,8010,1819268.903,1.652211013
CT865,EVAPCO,AT 424-3O40,"2,900",12749,(4) 50,50,4,200,149.1402067,618200,1180144.35,8700,1975984.951,1.674358689
CT866,EVAPCO,AT 424-4K40,"2,190",9627,(4) 20,20,4,80,59.65608268,456500,871458.91,6570,1492209.325,1.712311747
CT867,EVAPCO,AT 424-4L40,"2,369",10414,(4) 25,25,4,100,74.57010335,489900,935219.54,7107,1614175.293,1.725985426
CT868,EVAPCO,AT 424-4M40,"2,515",11056,(4) 30,30,4,120,89.48412402,519000,990771.46,7545,1713655.915,1.729617754
CT869,EVAPCO,AT 424-4N40,"2,798",12300,(4) 40,40,4,160,119.3121654,567600,1083548.91,8394,1906484.791,1.759481993
CT870,EVAPCO,AT 424-4O40,"3,028",13311,(4) 50,50,4,200,149.1402067,608300,1161245.24,9084,2063200.839,1.776714135
CT871,EVAPCO,AT 424-4P40,"3,141",13808,(4) 60,60,4,240,178.968248,644800,1230923.78,9423,2140196.114,1.738691019
CT872,EVAPCO,AT 114-2K24,619,2721,20,20,1,20,14.91402067,159500,304485.64,1857,421770.581,1.385190374
CT873,EVAPCO,AT 114-2L24,684,3007,25,25,1,25,18.64252584,171200,326820.95,2052,466059.8988,1.42604045
CT874,EVAPCO,AT 114-2M24,722,3174,30,30,1,30,22.37103101,181500,346483.66,2166,491952.1154,1.419842172
CT875,EVAPCO,AT 114-2N24,781,3433,40,40,1,40,29.82804134,199100,380082.08,2343,532153.1886,1.400100714
CT876,EVAPCO,AT 114-2O24,839,3688,50,50,1,50,37.28505168,213800,408144.39,2517,571672.8876,1.400663344
CT877,EVAPCO,AT 114-3K24,708,3112,20,20,1,20,14.91402067,157100,299904.04,2124,482412.8778,1.608557447
CT878,EVAPCO,AT 114-3L24,775,3407,25,25,1,25,18.64252584,168500,321666.65,2325,528064.9439,1.641652757
CT879,EVAPCO,AT 114-3M24,812,3570,30,30,1,30,22.37103101,178600,340947.56,2436,553275.7863,1.622759192
CT880,EVAPCO,AT 114-3N24,892,3921,40,40,1,40,29.82804134,195500,373209.67,2676,607785.716,1.628536871
CT881,EVAPCO,AT 114-3O24,951,4181,50,50,1,50,37.28505168,209800,400508.39,2853,647986.7892,1.617910659
CT882,EVAPCO,AT 114-3P24,"1,008",4431,60,60,1,60,44.74206201,222100,423989.1,3024,686825.1141,1.619912202
CT883,EVAPCO,AT 114-4K24,772,3394,20,20,1,20,14.91402067,154300,294558.84,2316,526020.8215,1.785792018
CT884,EVAPCO,AT 114-4L24,834,3666,25,25,1,25,18.64252584,165600,316130.55,2502,568266.017,1.797567557
CT885,EVAPCO,AT 114-4M24,872,3833,30,30,1,30,22.37103101,175500,335029.66,2616,594158.2336,1.773449668
CT886,EVAPCO,AT 114-4N24,947,4163,40,40,1,40,29.82804134,192300,367100.87,2841,645261.2927,1.757722038
CT887,EVAPCO,AT 114-4O24,998,4387,50,50,1,50,37.28505168,206500,394208.68,2994,680011.3729,1.725003531
CT888,EVAPCO,AT 114-4P24,"1,056",4642,60,60,1,60,44.74206201,218600,417307.6,3168,719531.0719,1.724222324
CT889,EVAPCO,AT 114-4Q24,"1,135",4990,75,75,1,75,55.92757752,234300,447278.91,3405,773359.6275,1.729032179
CT890,EVAPCO,AT 114-4R24*,"1,201",5280,100,100,1,100,74.57010335,256700,490040.53,3603,818330.3195,1.669923752
CT891,EVAPCO,AT 228-2K24,"1,198",5266,(2) 20,20,2,40,29.82804134,312300,596180.98,3594,816286.1971,1.36919195
CT892,EVAPCO,AT 228-2L24,"1,329",5842,(2) 25,25,2,50,37.28505168,335200,639897.1,3987,905546.207,1.415143478
CT893,EVAPCO,AT 228-2M24,"1,402",6163,(2) 30,30,2,60,44.74206201,355400,678458.92,4206,955286.5178,1.408024116
CT894,EVAPCO,AT 228-2N24,"1,520",6682,(2) 40,40,2,80,59.65608268,389900,744319.45,4560,1035688.664,1.391457211
CT895,EVAPCO,AT 228-2O24,"1,633",7179,(2) 50,50,2,100,74.57010335,418800,799489.57,4899,1112683.94,1.391742901
CT896,EVAPCO,AT 228-3K24,"1,376",6049,(2) 20,20,2,40,29.82804134,307600,587208.67,4128,937570.7907,1.596656914
CT897,EVAPCO,AT 228-3L24,"1,510",6638,(2) 25,25,2,50,37.28505168,330000,629970.29,4530,1028874.923,1.633211806
CT898,EVAPCO,AT 228-3M24,"1,582",6955,(2) 30,30,2,60,44.74206201,349800,667768.51,4746,1077933.86,1.614232835
CT899,EVAPCO,AT 228-3N24,"1,740",7649,(2) 40,40,2,80,59.65608268,383000,731147.34,5220,1185590.971,1.621548629
CT900,EVAPCO,AT 228-3O24,"1,855",8155,(2) 50,50,2,100,74.57010335,411000,784599.37,5565,1263948.995,1.610948271
CT901,EVAPCO,AT 228-3P24,"1,969",8656,(2) 60,60,2,120,89.48412402,435100,830606.29,5907,1341625.644,1.61523656
CT902,EVAPCO,AT 228-4K24,"1,508",6629,(2) 20,20,2,40,29.82804134,302100,576709.17,4524,1027512.175,1.7816817
CT903,EVAPCO,AT 228-4L24,"1,630",7166,(2) 25,25,2,50,37.28505168,324200,618898.09,4890,1110639.817,1.794543941
CT904,EVAPCO,AT 228-4M24,"1,706",7500,(2) 30,30,2,60,44.74206201,343700,656123.61,5118,1162424.251,1.771654362
CT905,EVAPCO,AT 228-4N24,"1,853",8146,(2) 40,40,2,80,59.65608268,376600,718929.74,5559,1262586.246,1.756202564
CT906,EVAPCO,AT 228-4O24,"1,952",8581,(2) 50,50,2,100,74.57010335,404400,771999.96,5856,1330042.284,1.722852786
CT907,EVAPCO,AT 228-4P24,"2,067",9087,(2) 60,60,2,120,89.48412402,428100,817243.28,6201,1408400.308,1.723355013
CT908,EVAPCO,AT 228-4Q24,"2,221",9764,(2) 75,75,2,150,111.855155,458900,876040.51,6663,1513331.923,1.727467971
CT909,EVAPCO,AT 228-4R24*,"2,350",10331,(2) 100,100,2,200,149.1402067,502900,960036.55,7050,1601229.185,1.667883567
CT910,EVAPCO,AT 214-2K48,"1,205",5297,(2) 20,20,2,40,29.82804134,313500,598471.78,3615,821055.8159,1.371920687
CT911,EVAPCO,AT 214-2L48,"1,336",5873,(2) 25,25,2,50,37.28505168,336500,642378.8,4008,910315.8258,1.417101288
CT912,EVAPCO,AT 214-2M48,"1,410",6198,(2) 30,30,2,60,44.74206201,356800,681131.52,4230,960737.5108,1.410502207
CT913,EVAPCO,AT 214-2N48,"1,527",6713,(2) 40,40,2,80,59.65608268,391500,747373.85,4581,1040458.283,1.392152379
CT914,EVAPCO,AT 214-2O48,"1,641",7214,(2) 50,50,2,100,74.57010335,420400,802543.98,4923,1118134.933,1.393238211
CT915,EVAPCO,AT 214-3K48,"1,383",6080,(2) 20,20,2,40,29.82804134,308800,589499.48,4149,942340.4095,1.598543252
CT916,EVAPCO,AT 214-3L48,"1,517",6669,(2) 25,25,2,50,37.28505168,331200,632261.1,4551,1033644.542,1.63483812
CT917,EVAPCO,AT 214-3M48,"1,589",6985,(2) 30,30,2,60,44.74206201,351200,670441.11,4767,1082703.478,1.614912117
CT918,EVAPCO,AT 214-3N48,"1,748",7684,(2) 40,40,2,80,59.65608268,384400,733819.94,5244,1191041.964,1.623071128
CT919,EVAPCO,AT 214-3O48,"1,863",8190,(2) 50,50,2,100,74.57010335,412500,787462.87,5589,1269399.988,1.6120125
CT920,EVAPCO,AT 214-3P48,"1,978",8695,(2) 60,60,2,120,89.48412402,436800,833851.59,5934,1347758.012,1.61630442
