BES_id,model,manufacturer,technology,type,volume_gal,volume_L,roundtrip_efficiency,daily_loss_rate_percent,max_temperature_F,max_temperature_C,heating_capacity_kW,first_hour_delivery_gal,first_hour_delivery_L,lifetime_yr
WT1,,,,,,128,85,0.2,3.3,,,,,
WT2,NREL,,HPWH,,120,454.2494141,14,7,140,60,22,150,567.8117676,
