,City,Building,PM_id,alpha_CHP,beta_ABC,GHG_int_100,energy_demand_int,technology,GHG_int_100_ces,percent_change_GHG_int_100
0,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
1,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
2,albuquerque,full_service_restaurant,RE1,1.0,0.0,225051.7300328786,849.8626665246347,Reciprocating Engine,252786.82094397387,-10.97173136143925
3,albuquerque,full_service_restaurant,RE1,1.0,1.0,218978.6606086571,849.8626665246347,Reciprocating Engine,252786.82094397387,-13.374178372538573
4,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
5,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
6,albuquerque,full_service_restaurant,RE2,1.0,0.0,247376.21025358938,849.8626665246347,Reciprocating Engine,252786.82094397387,-2.140384799405214
7,albuquerque,full_service_restaurant,RE2,1.0,1.0,248765.20852268834,849.8626665246347,Reciprocating Engine,252786.82094397387,-1.590910636190508
8,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
9,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
10,albuquerque,full_service_restaurant,RE3,1.0,0.0,240766.20668713094,849.8626665246347,Reciprocating Engine,252786.82094397387,-4.755237718467574
11,albuquerque,full_service_restaurant,RE3,1.0,1.0,245726.01155392468,849.8626665246347,Reciprocating Engine,252786.82094397387,-2.793187304497219
12,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
13,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
14,albuquerque,full_service_restaurant,RE4,1.0,0.0,238991.67357367053,849.8626665246347,Reciprocating Engine,252786.82094397387,-5.457225704563457
15,albuquerque,full_service_restaurant,RE4,1.0,1.0,248055.85123841272,849.8626665246347,Reciprocating Engine,252786.82094397387,-1.8715254568629947
16,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
17,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
18,albuquerque,full_service_restaurant,RE5,1.0,0.0,245630.4944800414,849.8626665246347,Reciprocating Engine,252786.82094397387,-2.8309729269939066
19,albuquerque,full_service_restaurant,RE5,1.0,1.0,256681.45760638337,849.8626665246347,Reciprocating Engine,252786.82094397387,1.540680264843664
20,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
21,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
22,albuquerque,full_service_restaurant,GT1,1.0,0.0,335540.59223494964,849.8626665246347,Gas Turbine,252786.82094397387,32.73658451890449
23,albuquerque,full_service_restaurant,GT1,1.0,1.0,323771.74560918246,849.8626665246347,Gas Turbine,252786.82094397387,28.080943618868982
24,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
25,albuquerque,full_service_restaurant,None,0.0,1.0,278004.17799049744,849.8626665246347,None,252786.82094397387,9.975740409391275
26,albuquerque,full_service_restaurant,GT2,1.0,0.0,313858.7747933823,849.8626665246347,Gas Turbine,252786.82094397387,24.15946908203101
27,albuquerque,full_service_restaurant,GT2,1.0,1.0,303687.14885723864,849.8626665246347,Gas Turbine,252786.82094397387,20.13567310320581
28,albuquerque,full_service_restaurant,None,0.0,0.0,252786.8209439738,849.8626665246347,None,252786.82094397387,-2.3026382742622564e-14
