PM_id,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,CHP_efficiency
FC1,1.0,0.0,348.1063029695699,-12.563981883423567,-246.95915659407675,23.60614471129754,-256.36411773798017,-223.45741668757555,-142.63971448343148,-106.19605547953347,-205.71889425955348,-3.7666007171107205,5.359413020586757,20.53515722115479,37.8155281006075,0.8600000000000054
FC1,1.0,1.0,348.1063029695699,3.1557570218165747,-98.39365206258962,28.120098103553946,-99.08300113503691,-96.78424476275423,-94.493784605822,-98.35753381300815,-95.73415928026742,9.284483416699217,15.565315613507757,24.774680219634767,43.352348057144646,0.8600000000000054
FC2,1.0,0.0,348.1063029695699,-12.280662814073048,-84.33827247483325,-9.748157116636675,-84.78759220317782,-83.63930060556446,-87.99554397921294,-97.15997511235226,-83.57139026057281,-11.717307490240536,-11.057520947296542,-12.22754947287801,27.42257475014689,0.7400000000000014
FC2,1.0,1.0,348.1063029695699,14.683604359513392,80.95960212581663,13.566498290650276,90.30500572195707,57.082977825793776,-34.89536801306736,-88.55336686805572,38.45039477778042,14.468293426523616,14.170146665454519,10.32680246497351,40.000423018828776,0.7400000000000014
FC3,1.0,0.0,348.1063029695699,-4.64788966059972,-140.15874898846187,-1.45825969762309,-143.7889444458404,-131.3943339161461,-106.2283232954698,-100.13318032060134,-125.11482296861271,-3.977410653127897,-3.1273491860064366,-4.070604276252731,35.34599846856361,0.8199999999999954
FC3,1.0,1.0,348.1063029695699,17.05132111498638,18.76093536549374,15.587614017971228,24.491238881770425,4.016581290600992,-54.96893033234678,-91.81493860726411,-7.617278803191215,16.69167903440762,16.332654521612977,12.37793306617037,43.931925624802155,0.8199999999999954
FC4,1.0,0.0,348.1063029695699,-18.69115244296577,-237.68237144726658,28.13357901382015,-234.556684764073,-215.44479747771655,-139.43056390115845,-105.65507447141712,-66.99054669532822,-7.220712335589933,4.560283320332887,24.910577292167307,30.384184831230716,0.8100000000000018
FC4,1.0,1.0,348.1063029695699,-1.2607490975712325,-88.38676643575148,32.47539572255783,-78.84874318265334,-88.15111544610316,-91.05759841187417,-97.78154912196192,18.61089417426838,7.0695007549512665,15.535135725565528,28.987019643444313,37.30779172999004,0.8100000000000018
FC5,1.0,0.0,348.1063029695699,-11.865341357874984,-167.95405644982876,6.415654410191603,-173.10738730239143,-155.30651824417197,-115.57665706294637,-101.67447146437404,-146.01284054027306,-7.449779963878589,-2.8222905600748733,3.641071856281465,34.11472410782877,0.8199999999999954
FC5,1.0,1.0,348.1063029695699,9.226366954212788,-11.894632329018467,19.799146776661296,-7.8793603181732905,-22.27980547734187,-65.12336577299219,-93.47787312654202,-30.54427259763265,11.847230229730958,14.502904302675303,16.522287969285486,42.173053529439976,0.8199999999999954
GT1,1.0,0.0,348.1063029695699,33.1774854929463,-293.4318468770899,77.80204583501221,-221.0679306033277,-213.86075183965332,-158.72492097942998,-108.91163269328183,285.8736471734933,43.97734554340466,55.250980251537705,73.31303116764158,5.476309130003284,0.6570000000000006
GT1,1.0,1.0,348.1063029695699,37.755314664697764,-147.97385046548953,69.64995439489665,-83.50293074178366,-99.35136887667518,-111.56289246847393,-101.22597930364826,293.88169460272917,45.51582478546067,53.56048230768804,65.23957881719424,13.75030740589459,0.6570000000000006
GT2,1.0,0.0,348.1063029695699,24.32662206353752,-293.4318468770899,66.21532806996309,-221.0679306033277,-213.86075183965332,-158.72492097942998,-108.91163269328183,285.8736471734933,34.45548014360392,45.04226629163361,62.05512887873069,12.788514581414567,0.7040000000000001
GT2,1.0,1.0,348.1063029695699,30.483983986054927,-147.97385046548953,60.12614729642186,-83.50293074178366,-99.35136887667518,-111.56289246847393,-101.22597930364826,293.88169460272917,37.69243254883302,45.171624118738215,55.983817106667885,20.43310309030232,0.7040000000000001
GT3,1.0,0.0,348.1063029695699,12.59110365279084,-246.95915659407675,49.40242056392132,-220.2571004680741,-198.58993175804505,-142.63971448343148,-106.19605547953347,189.38127102542825,21.517131805384988,30.813413223488727,45.59936943858235,14.109669233661586,0.7059999999999983
GT3,1.0,1.0,348.1063029695699,23.821644213748776,-98.39365206258962,49.32357954335474,-70.01615358864943,-76.67419939000268,-94.493784605822,-98.35753381300815,224.60620047743558,30.058202475320137,36.48176002387218,45.38139448958202,22.97320105748349,0.7059999999999983
GT4,1.0,0.0,348.1063029695699,18.414040119507153,-246.95915659407675,49.60675691128482,-220.2571004680741,-198.58993175804505,-142.63971448343148,-106.19605547953347,189.38127102542825,25.932285127764768,33.827655735260166,45.79790699506192,13.954552055528847,0.7050000000000026
GT4,1.0,1.0,348.1063029695699,28.605414397066426,-98.39365206258962,49.491535645760834,-70.01615358864943,-76.67419939000268,-94.493784605822,-98.35753381300815,224.60620047743558,33.68579799106323,38.95866877826262,45.54462350562838,22.835869621257363,0.7050000000000026
GT5,1.0,0.0,348.1063029695699,8.700252707457292,-196.93119238438072,33.596175285087256,-167.54759386712303,-155.4092689756089,-125.4262196812869,-103.30904215273338,227.232451932657,14.711379577489735,21.01077737219297,30.117858808757664,14.33975786875986,0.6979999999999998
GT5,1.0,1.0,348.1063029695699,24.00566150851366,-44.04147701957076,39.89872179215645,-12.719551886639032,-29.83105060542225,-75.96324836495558,-95.26944939846321,265.6152326559458,27.90227014291173,31.905244422412437,36.11504417530542,24.881348006578992,0.6979999999999998
GT6,1.0,0.0,348.1063029695699,5.618370661509814,-174.99689189559638,25.860654370170796,-156.46087649490093,-144.79615862655194,-117.96737684002089,-102.07079885800881,112.07723157600618,10.494429993693844,15.621610327096306,22.550434076919586,15.324286967761765,0.6990000000000026
