,City,Building,PM_id,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,technology,CHP_efficiency
0,albuquerque,full_service_restaurant,None,0.0,1.0,849.8626665246347,10.89973813487035,44.171073952245074,9.86651063164846,45.707058264739956,39.77556940276868,15.625545576492966,-3.207069567009098,35.838443352310996,10.690828596796573,10.417120834771543,9.381105044759263,9.312565529275448,None,1.0
1,albuquerque,full_service_restaurant,RE1,1.0,0.0,849.8626665246347,-13.922669286982634,-239.734998451955,44.020326267270825,-83.55367622566713,-189.95579673650516,-162.33906207697598,-111.27789886311643,726.784811882577,0.1454942271805278,14.70818144254356,40.770054442873274,25.964876247854658,Reciprocating Engine,0.828
2,albuquerque,full_service_restaurant,RE1,1.0,1.0,849.8626665246347,-15.757694750743761,-216.72782377037296,35.97648440995181,-71.672912843427,-171.69996504771072,-152.07502152464275,-109.421008377129,676.536478196847,-3.1960634360498634,9.805865772660635,32.87381221391896,26.613814369476923,Reciprocating Engine,0.828
3,albuquerque,full_service_restaurant,RE2,1.0,0.0,849.8626665246347,-3.9462482036762316,-157.73521969275473,18.514449824014314,-75.06335095095872,-108.63927862774341,-125.75703642127871,-104.65976294949913,795.5268448292439,1.4120122000277051,7.088794399410897,15.648872564524094,23.718270614865034,Reciprocating Engine,0.798
4,albuquerque,full_service_restaurant,RE2,1.0,1.0,849.8626665246347,-2.67972884366738,-129.94424815248107,15.968996776495459,-52.661014928097515,-86.47250092151621,-113.35883182528033,-102.41677608285062,749.2888624669722,1.7697491702970403,6.482879076306331,13.12073076263301,25.68338139622595,Reciprocating Engine,0.798
5,albuquerque,full_service_restaurant,RE3,1.0,0.0,849.8626665246347,-6.204890549602359,-137.18198229191236,10.714886094169074,-53.89756305248857,-89.83896830904897,-116.58775487829769,-103.00092775943037,602.9953807294307,-2.1901806654450335,2.0934294652833954,7.986971542407733,25.775754868147988,Reciprocating Engine,0.806
6,albuquerque,full_service_restaurant,RE3,1.0,1.0,849.8626665246347,-3.4919717320786368,-107.29359566659531,9.951608781025211,-29.335302441626236,-65.75365807692944,-103.25384419122499,-100.58866021532,573.9680811201337,-0.3017090586948114,3.1016986709133496,7.196849639363615,28.118146713951724,Reciprocating Engine,0.806
7,albuquerque,full_service_restaurant,RE4,1.0,0.0,849.8626665246347,-6.525187468401674,-113.03834557752654,4.73562032758482,-29.034370756881266,-67.75447360878007,-105.81671194291151,-101.05231434067925,623.2354679051102,-3.880979308941985,-1.0207816751268306,2.087518653052043,25.353860326946116,Reciprocating Engine,0.795
8,albuquerque,full_service_restaurant,RE4,1.0,1.0,849.8626665246347,-2.1479388689693764,-80.29927780112686,5.960741203987117,-1.5364698167956812,-41.061608702194455,-91.21104549523622,-98.40997062331913,596.597950568075,-0.24598285317308077,1.8142848409862016,3.23631498576676,28.332215527582346,Reciprocating Engine,0.795
9,albuquerque,full_service_restaurant,RE5,1.0,0.0,849.8626665246347,-3.7183018359681146,-98.85701596699931,3.7462369285436643,-14.430393349292087,-35.851828380311744,-99.4900879995998,-99.90775068186886,635.1239564116114,-2.0007080458308333,-0.09297777546619246,1.0794244418832322,22.354823584478062,Reciprocating Engine,0.769
10,albuquerque,full_service_restaurant,RE5,1.0,1.0,849.8626665246347,1.4717734169434284,-64.28588292249042,6.0061686998213775,14.954174110754185,-8.877713128997202,-84.06709424135069,-97.11754245645241,610.0222955479286,2.5037143811772142,3.6664015929063716,3.237315466245711,25.93331027184844,Reciprocating Engine,0.769
11,albuquerque,full_service_restaurant,GT1,1.0,0.0,849.8626665246347,29.606538846140573,-212.09928995145032,67.66686818984891,-156.36540728671528,-164.6770591073084,-150.01012396669606,-109.04744315100356,225.54825008893113,38.71337594035823,48.32379064574321,63.69256917315633,0.7274379295472255,Gas Turbine,0.657
12,albuquerque,full_service_restaurant,GT1,1.0,1.0,849.8626665246347,25.60706121135817,-188.18745797299368,58.86430721530178,-136.092753356732,-145.59372576602016,-139.34249456394545,-107.1175385052641,214.6892541975351,33.56092967664849,41.959785920361504,55.063249506090315,2.056448877556515,Gas Turbine,0.657
13,albuquerque,full_service_restaurant,GT2,1.0,0.0,849.8626665246347,21.172949616247443,-212.09928995145032,56.576610631578404,-156.36540728671528,-164.6770591073084,-150.01012396669606,-109.04744315100356,225.54825008893113,29.632011814680016,38.575652801717666,52.89498579761973,7.840901484775258,Gas Turbine,0.704
14,albuquerque,full_service_restaurant,GT2,1.0,1.0,849.8626665246347,17.7947438486447,-188.18745797299368,48.59102862445685,-136.092753356732,-145.59372576602016,-139.34249456394545,-107.1175385052641,214.6892541975351,25.14855664042247,32.92975796226871,45.06108485464452,9.09338374150049,Gas Turbine,0.704
15,albuquerque,full_service_restaurant,GT3,1.0,0.0,849.8626665246347,10.813623907033392,-176.20455433262777,40.82248224544321,-153.15791998804437,-150.77448409283897,-133.9966400380591,-106.15040803086826,150.7586910712443,17.999056498566507,25.574730525691713,37.430907673446235,9.196297652731763,Gas Turbine,0.706
16,albuquerque,full_service_restaurant,GT3,1.0,1.0,849.8626665246347,9.942817168706469,-150.0155956004544,35.6430513683448,-128.05351661871865,-128.2136703589889,-122.31313095140838,-104.03671832403884,149.5348446261382,16.09687514266536,22.584746169155206,32.335439292269264,11.157976076401404,Gas Turbine,0.706
