,City,Building,PM_id,alpha_CHP,beta_ABC,GHG_base_case,GHG_leak_base_case,GHG_no_leak,GHG_int_sensitivity,GHG_leak_sensitivity,technology,percent_leak_base_case,percent_leak_sensitivity,GHG_leak_ces,percent_change_leak_base_case_to_ces,percent_change_leak_to_ces,percent_change_leak_to_base_case
0,albuquerque,full_service_restaurant,None,0.0,0.0,341802.50959182414,84718.84529413999,257083.66429768412,350536.0058496412,93452.3415519571,None,24.78590499388377,26.65984092716641,84718.84529414003,-5.153014719868969e-14,10.308799922254321,10.308799922254378
1,albuquerque,full_service_restaurant,None,0.0,1.0,378344.03003183525,93081.8348646374,284790.4883069767,387307.96494042577,102517.47663344907,None,24.6024325682647,26.469240478753882,84718.84529414003,9.871463121884453,21.009057993546758,10.136931424410871
2,albuquerque,full_service_restaurant,RE1,1.0,0.0,342299.81251163845,122750.54878448982,217227.58743236482,353594.4852875384,136366.89785517362,Reciprocating Engine,35.86053637710251,38.565900637359164,84718.84529414003,44.891668858688305,60.96406576566744,11.09269914107651
3,albuquerque,full_service_restaurant,RE1,1.0,1.0,330878.284559259,115865.07821494652,212402.4011834125,340945.986051434,128543.58486802148,Reciprocating Engine,35.017431974806904,37.70203789659217,84718.84529414003,36.76423210522779,51.729623346168054,10.942474512945559
4,albuquerque,full_service_restaurant,RE2,1.0,0.0,346628.80272726156,100845.04570085113,244099.97196871616,355939.6993402879,111839.72737157172,Reciprocating Engine,29.093094661322528,31.420975962743043,84718.84529414003,19.034962469945917,32.01280893674742,10.902550139483742
5,albuquerque,full_service_restaurant,RE2,1.0,1.0,347851.55666937993,98640.52290787973,246984.71008704833,356121.09238594386,109136.3822988955,Reciprocating Engine,28.35707387724411,30.64586305958527,84718.84529414003,16.432799060709876,28.821848220403478,10.640514751546736
6,albuquerque,full_service_restaurant,RE3,1.0,0.0,334316.4171127381,94163.91910102518,238629.98600810117,343004.4753136339,104374.48930553271,Reciprocating Engine,28.166106802129086,30.42948323344631,84718.84529414003,11.148728212822398,23.201029172611083,10.843399788355205
7,albuquerque,full_service_restaurant,RE3,1.0,1.0,340771.2604575394,93474.93807029986,245198.93783128,348541.981663744,103343.04383246403,Reciprocating Engine,27.430405353079056,29.650099347907037,84718.84529414003,10.335472285722341,21.983536807733405,10.556953517040732
8,albuquerque,full_service_restaurant,RE4,1.0,0.0,328537.224917121,89019.63552052456,238195.2650855726,336807.07670567627,98611.81162010366,Reciprocating Engine,27.09575316556024,29.278426268423395,84718.84529414003,5.076544907396201,16.398908976778277,10.77534865593502
9,albuquerque,full_service_restaurant,RE4,1.0,1.0,340961.734026513,90021.37826219243,249024.23029768525,348474.79021360655,99450.55991592133,Reciprocating Engine,26.40219393510957,28.538810470324282,84718.84529414003,6.258976913155798,17.38894642701213,10.474380459123681
