alpha_CHP,beta_ABC,PM_id,percent_change_co2_int_mean,percent_change_n2o_int_mean,percent_change_ch4_int_mean,percent_change_co_int_mean,percent_change_nox_int_mean,percent_change_pm_int_mean,percent_change_so2_int_mean,percent_change_voc_int_mean,percent_change_GHG_int_100_mean,percent_change_GHG_int_20_mean,percent_change_NG_int_mean,percent_change_co2_int_std,percent_change_n2o_int_std,percent_change_ch4_int_std,percent_change_co_int_std,percent_change_nox_int_std,percent_change_pm_int_std,percent_change_so2_int_std,percent_change_voc_int_std,percent_change_GHG_int_100_std,percent_change_GHG_int_20_std,percent_change_NG_int_std
0.0,1.0,None,56.04350057341726,-7.027040105224522,-4.638381166715942,75.05752696588345,79.98625469787636,-3.7672914532856265,-1.4472010183421233,70.91665778309469,43.7992834328576,35.49861660751504,23.19104991204039,51.43680539646479,5.909641675487207,3.9112675774464942,71.03431449404773,76.31978049170193,3.1798922332222963,1.2248505726252408,66.6606710036691,39.444323993476765,31.574169474434697,20.265474898257313
1.0,0.0,FC1,-15.29975794301517,-98.28553109457914,-97.91769859045472,-90.1576423432494,-89.84367926142805,-97.78696861331578,-97.44715997843056,-90.4311164819393,-1.6559719311617143,9.054797948917322,21.233414419504935,12.833314458004883,2.909572330468313,3.4853976157814186,12.763604222511137,13.047948464932453,3.686280299569056,4.199482992236783,12.511085115894712,13.427957060858764,13.640223875953188,12.624011316211506
1.0,0.0,FC2,21.911417168946745,-96.27311847602542,-95.45296579745299,-76.50376977006596,-75.67322249117618,-95.15973669920238,-94.39327708803879,-77.22333365238339,9.514282436545972,1.3370107809423863,-12.05641713921737,11.677085831337845,4.199925283744027,5.039166518016066,18.638696704661154,19.03772616592686,5.332529363595659,6.083313112003074,18.281639568143813,7.486399848596274,5.287018766416129,3.137639167153406
1.0,0.0,FC3,9.55243453441539,-97.28229572624315,-96.6908754675366,-83.58357737069329,-83.03005866258421,-96.47998323772163,-95.93010771095406,-84.06437053809674,4.780039631056232,2.1368293239637293,-3.715851923191497,13.727646773250916,3.690767093702799,4.426411758863212,16.436553812982506,16.80326079653104,4.683448768581494,5.341037353725915,16.110287461960553,10.657191831350575,8.83514959187671,6.204323346689638
1.0,0.0,FC4,-0.26753449107926247,-98.22183743813598,-97.83994544801922,-82.51872344618498,-89.42730792763142,-97.70418619466145,-97.35122629647356,15.300038850362753,9.426887066178748,17.369540209193488,25.62191568651896,15.91104285396107,2.970410953126564,3.5586699668767374,11.438175689207428,13.344229019106072,3.76392125996307,4.288357342517198,23.0389637121144,15.39971904537137,14.922320104465902,13.0782756365162
1.0,0.0,FC5,7.67800509298793,-97.61310750737688,-97.0958633554888,-85.80297148831552,-85.3322931980877,-96.91160343797787,-96.43161250377139,-86.21216539047866,6.476765659335303,6.456100024490635,4.094117810112039,14.863569673087147,3.4684830689458517,4.158653070549776,15.406823877269554,15.75195364101069,4.399715292180102,5.016240054861664,15.100040936835672,12.293142520267802,10.69957572210979,8.094892519844874
1.0,0.0,GT1,215.84498291676584,-98.563815910497,-98.2571521666771,-41.23169006155037,27.605098100569776,-98.1482815485788,-97.86558118224508,329.2545867910531,163.17958563520347,127.28827376107185,74.45284155398137,72.38649983493926,2.6208167277134033,3.137768803475751,10.746187524709798,30.998348662010276,3.3179767508424907,3.7780406727620006,117.62269077120793,50.6558635897452,37.761582589707935,21.887364578507334
1.0,0.0,GT2,200.42308932609393,-98.563815910497,-98.2571521666771,-41.23169006155037,27.605098100569776,-98.1482815485788,-97.86558118224508,329.2545867910531,149.27116004708427,114.3513761119269,63.11520907888833,68.4182892870336,2.6208167277134033,3.137768803475751,10.746187524709798,30.998348662010276,3.3179767508424907,3.7780406727620006,117.62269077120793,47.55929330931976,35.20253807642575,20.09416339714269
1.0,0.0,GT3,159.67599432406323,-98.28553109457914,-97.91769859045472,-68.44768775926826,-30.2241239885702,-97.78696861331578,-97.44715997843056,225.59224087201244,117.55071097837497,88.87807454706291,46.46252276994198,56.361165108367025,2.909572330468313,3.4853976157814186,8.84915470910201,12.732626409364446,3.686280299569056,4.199482992236783,85.0096720060282,39.132148230875835,28.953477733683997,16.496688474306595
1.0,0.0,GT4,169.95725671784453,-98.28553109457914,-97.91769859045472,-68.44768775926826,-30.2241239885702,-97.78696861331578,-97.44715997843056,225.59224087201244,124.07635278073415,92.73785741890072,46.662366494556295,58.99849087514408,2.909572330468313,3.4853976157814186,8.84915470910201,12.732626409364446,3.686280299569056,4.199482992236783,85.0096720060282,40.57771473472311,29.711184421398265,16.527759542838744
1.0,0.0,GT5,132.0404660119442,-97.89808274967824,-97.44440525917962,-65.96597414328143,-27.65412011913771,-97.28294023857482,-96.86269483019814,227.99744573355093,94.42780918017365,68.79990353262168,30.78171655875914,47.170561904137095,3.2520040475051077,3.8978783542315005,9.914251394026245,11.7391885796371,4.123376583216081,4.699882607746624,83.280220023755,32.20173357610091,23.420963255737913,12.812710898645578
1.0,0.0,GT6,117.9738144342449,-97.68700269655555,-97.18627099369198,-71.81874364433715,-46.09299638358859,-97.00793491468345,-96.54347655932192,123.99656595199038,82.77434427367925,58.78115420802316,23.12162442668675,42.468244715224124,3.414640108397915,4.093795724833187,11.786838795156065,9.058378813310236,4.3309883401062645,4.937564794060097,51.258333634331784,28.68986389049839,20.645401740214012,11.010599052398511
1.0,0.0,MT1,639.6211501261517,-98.88495639266371,-98.64831566723005,-64.88266853792335,45.47218548179618,-98.56442196032562,-98.34686126354082,327.37011975274396,427.9729687842647,279.1428229062283,71.72699656816512,183.69572562809205,2.235696212674837,2.674650046454416,7.364167366357535,38.696250878250865,2.8275078079137685,3.217371175603973,119.23097911216594,111.5768532571976,69.49987538731669,22.6776726213806
1.0,0.0,MT2,202.23020634585112,-98.74576964145494,-98.47886016108725,-85.75900874147676,-33.15924944105248,-98.3841763052667,-98.13849091720893,12.15629969506503,149.1526112355612,112.84370173772028,59.88891151311364,69.95581564472556,2.4103053378551267,2.884539443048131,8.977366571565717,13.994887709088356,3.0497616624383315,3.471345629601513,25.180908860413613,48.47252943897879,35.74400124761761,20.261934818409397
1.0,0.0,MT3,166.99322323956324,-98.22183743813598,-97.83994544801922,-60.80876886220393,-29.807752654773548,-97.70418619466145,-97.35122629647356,331.32339620431486,121.70194205363963,90.76648504216766,45.249519715698774,57.882006501093585,2.970410953126564,3.5586699668767374,8.488440816167797,12.568285840849889,3.76392125996307,4.288357342517198,116.00107387691982,39.743163859411425,29.050950156780026,16.091048045613988
1.0,0.0,MT4,188.51563337915522,-98.41968822512455,-98.08139763572476,-83.76078634184657,-11.219911608011532,-97.9612292499222,-97.64902396925407,14.095521573068579,135.86971848197092,99.73632886344963,47.137642056581264,64.52441789675883,2.7750828332695314,3.323454876120492,10.572577106986497,18.44001206597152,3.514694203268397,4.003105494511149,23.831420194124313,43.85429851034336,31.673095458380786,17.067678854518647
1.0,0.0,MT5,164.19539132790558,-98.26405632652059,-97.89148591376664,-68.31231026804052,49.408731267371714,-97.75906131672842,-97.41482183154862,225.72350961393155,117.18606840355108,84.96484984815898,37.876699352146254,57.39999070825255,2.9302921400806174,3.5103511868844306,8.912986073828105,35.85147493290503,3.7127213575141997,4.229748845561448,84.91085512734763,38.94727902250238,28.093946036216188,15.093907849291313
1.0,0.0,MT6,167.17941933015936,-98.22183743813598,-97.83994544801922,-60.80876886220393,-29.807752654773548,-97.70418619466145,-97.35122629647356,331.32339620431486,121.66961969222537,90.57529676318033,44.849922891096234,57.929765556293056,2.970410953126564,3.5586699668767374,8.488440816167797,12.568285840849889,3.76392125996307,4.288357342517198,116.00107387691982,39.736005693448604,29.01344289402263,16.02909522571952
1.0,0.0,RE1,153.39420997538986,-98.74576964145494,-98.47886016108725,44.50071876240975,26.46030583180537,-98.3841763052667,-98.13849091720893,854.8852526389365,114.99688484156596,89.02969277263912,50.47651327734078,57.39601768261676,2.4103053378551267,2.884539443048131,35.874730985218605,31.81126554014169,3.0497616624383315,3.471345629601513,275.35107493659746,40.873640534917534,31.037881904877914,18.775174248217777
1.0,0.0,RE2,121.90489755962591,-98.12033607057245,-97.71599515892778,-16.74309825200511,50.35356272754748,-97.5722019159637,-97.19822455109724,858.6549767383734,85.22432857536046,60.19990174779206,23.26485337293278,45.78298051346058,3.063568228933999,3.6708781870261924,14.635872481991376,35.221121194357615,3.8828238492472975,4.424475436806074,272.31838136791447,31.21138797774972,22.662033163997762,12.39223708070556
1.0,0.0,RE3,105.62164433540455,-97.91553905171189,-97.46574493394237,-15.422945494281933,51.72098576137166,-97.30567159822512,-96.88907161981527,649.2519422950039,71.8669130630505,48.83383579417676,14.75679008519372,40.53194542874068,3.237905905007918,3.880894768709697,13.974539127988546,34.33577449606241,4.105379010721469,4.679277409319256,208.66093514704224,27.34067510848767,19.642112126437517,10.489143291441035
1.0,0.0,RE4,90.95082575656313,-97.64221485984544,-97.13147748537932,-13.62939630777976,53.57995081996701,-96.9495520873153,-96.47568289906448,650.9888792231258,60.14987189106902,39.14020974820864,7.9174249781471415,35.376414645896965,3.4474669109330627,4.133337925641623,13.084134322536077,33.17321817823104,4.372889848296823,4.985531908650789,207.49412654243528,23.570677417680333,16.729639745044263,8.699493590397829
1.0,0.0,RE5,87.91281720641686,-97.4629749745034,-96.91211710492206,-12.435170167016917,114.4379849554831,-96.71579270221181,-96.20415439559308,652.1448416969448,57.7170789474178,37.11589717159733,6.441861425284303,33.68672027620851,3.572923763794151,4.284458771359827,12.492605664534581,51.09727595847457,4.5330265626722674,5.168845712660592,206.76139376804767,22.260175571332777,15.664532727435763,7.980846048603228
1.0,1.0,FC1,14.472162742740169,-92.25824313183075,-90.45373482425528,-35.22886442223425,-32.00272579642763,-89.79933428224794,-88.06541099873148,-37.95064090313726,18.338386837670733,22.16998206838735,24.79692707582369,43.966075290180974,6.782733506142936,8.366571357520545,63.833801309695026,67.64722724456422,8.942282253056094,10.472012677283619,60.67325745348819,33.408653857875265,26.269206126826383,16.150080756629222
1.0,1.0,FC2,67.8058681430383,-87.47969087481897,-84.55686601052959,4.802282298970041,9.993567177570467,-83.49662084131737,-80.6867262404562,0.4191632409510854,46.53569481618871,32.26663605741108,10.003033035851747,49.92014243337743,7.604898408524971,9.364897550002395,72.44938706002763,76.9683699485629,10.003798652743386,11.699823705859254,68.72131057778785,38.2120296932081,30.846219375648335,20.883927697456155
