technology,alpha_CHP,beta_ABC_mean,percent_change_co2_int_mean,percent_change_n2o_int_mean,percent_change_ch4_int_mean,percent_change_co_int_mean,percent_change_nox_int_mean,percent_change_pm_int_mean,percent_change_so2_int_mean,percent_change_voc_int_mean,percent_change_GHG_int_100_mean,percent_change_GHG_int_20_mean,percent_change_NG_int_mean,beta_ABC_std,percent_change_co2_int_std,percent_change_n2o_int_std,percent_change_ch4_int_std,percent_change_co_int_std,percent_change_nox_int_std,percent_change_pm_int_std,percent_change_so2_int_std,percent_change_voc_int_std,percent_change_GHG_int_100_std,percent_change_GHG_int_20_std,percent_change_NG_int_std
Fuel Cell,1.0,0.5,22.628449644966576,-93.92265909644502,-92.52469985007437,-50.73154799282844,-49.78235938019329,-92.01933228846437,-90.68428044967725,-34.834297528819846,19.07901889007711,17.475426963326427,12.75151128557573,0.5000980680601761,41.743039353405656,6.8343245514796545,8.406411824471133,60.0089961379362,63.748722426235574,8.975853620411495,10.48397737803345,65.69108271932244,30.570176800929097,24.281779963072676,19.305328050255536
Gas Turbine,1.0,0.5,164.7483313793758,-95.15008995477353,-94.03575927500108,-34.368797513093604,9.197774420442233,-93.63300547748808,-92.56920653290071,239.5702022062583,121.05226264959545,91.22692857306372,47.11240711176681,0.5000817193762096,64.09258532348258,6.117958320471245,7.5285487951313925,52.04589783156177,58.5084690820928,8.0397586882501,9.394298952847723,108.23335998130034,46.17729052527232,35.52313078935357,22.39965722624556
Microturbine,1.0,0.5,243.25792882920538,-95.67825256831519,-94.68571593538363,-47.28656890079506,16.864210770309427,-94.32700807254807,-93.3796010293529,203.69616471238905,171.1112513302424,121.07564650302798,49.25921927673765,0.5000817193762096,178.6732308426309,5.761302529883593,7.091207739202999,50.15271059362577,60.11994209374979,7.573304148542354,8.851013749928182,156.6671995556944,115.18435265464235,72.19299022276498,19.663129300078275
None,0.0,1.0,56.04350057341726,-7.027040105224522,-4.638381166715942,75.05752696588345,79.98625469787636,-3.7672914532856265,-1.4472010183421233,70.91665778309469,43.7992834328576,35.49861660751504,23.19104991204039,0.0,51.43680539646479,5.909641675487207,3.9112675774464942,71.03431449404773,76.31978049170193,3.1798922332222963,1.2248505726252408,66.6606710036691,39.444323993476765,31.574169474434697,20.265474898257313
Reciprocating Engine,1.0,0.5,117.40369184971121,-94.69244933484975,-93.47246293964729,19.371060109910324,77.27985492586336,-93.03149161139206,-91.86668539994359,686.1363099357933,82.59420988109059,58.8670963751876,23.608970966402456,0.5000980680601761,50.60376297117394,6.412463220067167,7.889573310118293,54.63666394545894,66.10787895601004,8.424775511814092,9.84260742786387,237.49348620166975,37.04859028448009,29.25314925369638,20.060124926258784
