technology,alpha_CHP,beta_ABC,electricity_demand_int_mean,cooling_demand_int_mean,heat_demand_int_mean,total_electricity_demand_int_mean,total_heat_demand_int_mean,electricity_Grid_int_mean,electricity_CHP_int_mean,heat_CHP_int_mean,heat_Furnace_int_mean,Furnace_co2_int_mean,CHP_co2_int_mean,Grid_co2_int_mean,Furnace_n2o_int_mean,Grid_n2o_int_mean,Furnace_ch4_int_mean,Grid_ch4_int_mean,Furnace_co_int_mean,CHP_co_int_mean,Grid_co_int_mean,Furnace_nox_int_mean,CHP_nox_int_mean,Grid_nox_int_mean,Furnace_pm_int_mean,Grid_pm_int_mean,Furnace_so2_int_mean,Grid_so2_int_mean,Furnace_voc_int_mean,CHP_voc_int_mean,Grid_voc_int_mean,Grid_NG_int_mean,Furnace_NG_int_mean,CHP_NG_int_mean,Grid_ch4_leak_int_mean,Furnace_ch4_leak_int_mean,CHP_ch4_leak_int_mean,ch4_leak_int_mean,avoided_co2_int_mean,avoided_n2o_int_mean,avoided_ch4_int_mean,avoided_co_int_mean,avoided_nox_int_mean,avoided_pm_int_mean,avoided_so2_int_mean,avoided_voc_int_mean,Grid_GHG_int_100_mean,Grid_GHG_int_20_mean,Furnace_GHG_int_100_mean,Furnace_GHG_int_20_mean,CHP_GHG_int_100_mean,CHP_GHG_int_20_mean,co2_int_mean,n2o_int_mean,ch4_int_mean,co_int_mean,nox_int_mean,pm_int_mean,so2_int_mean,voc_int_mean,GHG_int_100_mean,GHG_int_20_mean,NG_int_mean,energy_demand_int_mean,TFCE_mean,trigen_efficiency_mean,CHP_efficiency_mean,electricity_demand_int_std,cooling_demand_int_std,heat_demand_int_std,total_electricity_demand_int_std,total_heat_demand_int_std,electricity_Grid_int_std,electricity_CHP_int_std,heat_CHP_int_std,heat_Furnace_int_std,Furnace_co2_int_std,CHP_co2_int_std,Grid_co2_int_std,Furnace_n2o_int_std,Grid_n2o_int_std,Furnace_ch4_int_std,Grid_ch4_int_std,Furnace_co_int_std,CHP_co_int_std,Grid_co_int_std,Furnace_nox_int_std,CHP_nox_int_std,Grid_nox_int_std,Furnace_pm_int_std,Grid_pm_int_std,Furnace_so2_int_std,Grid_so2_int_std,Furnace_voc_int_std,CHP_voc_int_std,Grid_voc_int_std,Grid_NG_int_std,Furnace_NG_int_std,CHP_NG_int_std,Grid_ch4_leak_int_std,Furnace_ch4_leak_int_std,CHP_ch4_leak_int_std,ch4_leak_int_std,avoided_co2_int_std,avoided_n2o_int_std,avoided_ch4_int_std,avoided_co_int_std,avoided_nox_int_std,avoided_pm_int_std,avoided_so2_int_std,avoided_voc_int_std,Grid_GHG_int_100_std,Grid_GHG_int_20_std,Furnace_GHG_int_100_std,Furnace_GHG_int_20_std,CHP_GHG_int_100_std,CHP_GHG_int_20_std,co2_int_std,n2o_int_std,ch4_int_std,co_int_std,nox_int_std,pm_int_std,so2_int_std,voc_int_std,GHG_int_100_std,GHG_int_20_std,NG_int_std,energy_demand_int_std,TFCE_std,trigen_efficiency_std,CHP_efficiency_std
ABC Only,0.0,1.0,214.39858653886776,149.19493377379624,133.70771643070452,214.39858653886776,357.72413350847455,214.39858653886776,0.0,0.0,357.72413350847455,65105.792298540735,0.0,36499.21537237736,0.3473501336367281,1.8674116887535184,1.2484572259445614,5.359964663471723,45.43096495557649,0.0,18.67411688753517,17.385392888511593,0.0,6.646356182704922,1.0302455045044128,4.116452861546247,0.325528961492706,1.0955767772136091,2.9869965147957185,0.0,1.3078313778871025,422.974506027755,361.3375085944157,0.0,875.911679737189,776.7835391440736,0.0,1652.6952188812797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61669.685513114186,111019.030187862,86982.7359823157,130552.18042890266,0.0,0.0,101.60500767091872,2.214761822390255,1659.3036407706586,64.10508184311112,24.031749071216648,5.146698366050669,1.4211057387063362,4.294827892682822,148.652421495431,241.5712106167665,784.3120146221702,348.10630296956356,71.94112488417298,89.92055579833259,1.0,193.85358584405606,177.8663525982767,172.39670545323517,193.85358584405606,319.71871028512703,193.85358584405606,0.0,0.0,319.71871028512703,58188.805271893114,0.0,33001.63445409215,0.3104468676868586,1.6884647327017333,1.115818298895094,4.846339646101406,40.60427620621116,0.0,16.884647327017294,15.538329319857143,0.0,6.009461161165746,0.9207898856211671,3.721988848205878,0.2909440263594651,0.9905918236631275,2.6696512308808042,0.0,1.1825068736487423,382.4424686644781,322.9481922071986,0.0,791.9763965839529,694.2562942848693,0.0,1287.9408173403056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55760.1142226996,100380.49898684994,77741.49284417546,116682.02070199858,0.0,0.0,79.96535149286903,1.8631209662240766,1293.1719415527457,51.17676646243858,19.258397759722143,4.257533905340727,1.1636108926829651,3.4177097495650024,116.1281326603937,188.14347788836645,611.5620557083786,331.25211056426605,7.814573863032879,19.81960682517213,0.0
Fuel Cell,1.0,0.0,214.3985865388669,149.1949337737947,133.7077164307027,258.27944941351336,133.7077164307027,0.0,258.27944941351336,224.56401837370186,53.280749771375206,9697.096458390295,58694.0048792208,0.0,0.0517356080280054,0.0,0.1859498167020993,0.0,6.766655220964659,0.5165588988270255,0.0,2.589444438888843,0.0,0.0,0.15344855934156065,0.0,0.048485482291951494,0.0,0.44489426059098336,0.5165588988270255,0.0,0.0,53.8189391630053,623.2495992898788,0.0,115.69700084179007,1339.827773180139,1455.5247740219259,21370.83267753833,0.1140169149993765,2.959578158795783,14.912614011244841,5.706716857847264,0.33817581379829836,0.10685416338769325,0.9804750157002379,0.0,0.0,12955.529012955483,19444.92251422304,96126.31433981819,170990.93326101336,47.02026866007271,-0.06228130697137123,1452.7511456798325,-7.629399891453144,-3.117272418958429,-0.18472725445673727,-0.05836868109574191,-0.01902185628222933,87.68079619276064,169.03492263213815,677.068538452886,348.1063029695682,79.09531060913498,102.4504159529381,0.8100000000000069,193.91236655261645,177.92028562298293,172.44897995956444,210.15833309723118,172.44897995956444,0.0,210.15833309723118,218.32657623803541,106.31663418633423,19349.62742191284,48284.58241780162,0.0,0.10323345179493057,0.0,0.3710450533103066,0.0,13.502212541664456,1.39696122485728,0.0,5.166988421455842,0.0,0.0,0.30619190645664274,0.0,0.09674813710956426,0.0,0.8877438954558907,1.39696122485728,0.0,0.0,107.39053958215577,525.339971856542,0.0,230.86228643052962,1129.3470312007234,1210.3592136673128,29605.69179105616,0.15795124576434694,4.099997418113819,20.658916799247343,7.9056957200280795,0.46848567229787935,0.1480284589552834,1.358283112391851,0.0,0.0,25851.51756818602,38800.480897829286,78382.3115875385,140486.16487732242,55.00852513480667,0.20839024362267256,1207.9137715486295,26.787768198305905,10.430242883688868,0.6180884671814915,0.19529878650530755,1.8359891630454228,80.68208143590739,142.59744859172136,563.0245245062149,331.3525535541974,3.198057749777206,19.61688395216262,0.03900247546786822
Fuel Cell,1.0,1.0,214.3985865388669,149.1949337737947,133.7077164307027,214.3985865388669,357.7241335084724,0.0,214.3985865388669,186.41130076797725,231.49153457162166,42131.459292035164,48722.078790957494,0.0,0.22477828006904443,0.0,0.8079054556549586,0.0,29.399424890595963,0.4287971730777338,0.0,11.250488580180809,0.0,0.0,0.6666956195662694,0.0,0.21065729646017559,0.0,1.9329543136730378,0.4287971730777338,0.0,0.0,233.8298329006277,517.3614604340049,0.0,502.67453789828465,1112.1952653516462,1614.8698032499321,15326.456884281495,0.08176917381667635,2.122511917568852,10.694835298369084,4.092669255911912,0.24252854849844174,0.07663228442140886,0.7031643680425794,0.0,0.0,56288.5339501638,84483.32599970422,79804.11588711174,141968.19007942,75.527081198711,0.14300910625236837,1613.5551967880192,19.133386765304568,7.157819324268915,0.4241670710678291,0.1340250120387669,1.6585871187081938,120.74452412193257,211.10347213295566,751.1912933346327,348.1063029695682,83.84224970715141,102.8839703069646,0.8100000000000069,193.91236655261645,177.92028562298293,172.44897995956444,193.91236655261645,319.8156560921842,0.0,193.91236655261645,197.95733930023638,255.31488533770235,46467.30913146185,44496.592423776,0.0,0.24791075366290893,0.0,0.8910489498285813,0.0,32.424990437888226,1.2198710878906511,0.0,12.40830342741234,0.0,0.0,0.7353068697725829,0.0,0.2323365456573092,0.0,2.1318792925698147,1.2198710878906511,0.0,0.0,257.8938235734367,482.8312791825836,0.0,554.4059839733603,1037.9641773472401,1265.7777624543862,24826.596367762842,0.13245398391809923,3.4381558021600376,17.324053509367843,6.6295196894125885,0.39286042603919663,0.12413298183881641,1.139022415773726,0.0,0.0,62081.3224030318,93177.70833597664,72312.68514031338,129506.09963254059,70.33515648898195,0.29264756171068823,1264.4767001262871,38.02407726614281,14.647447475941767,0.8679968874631787,0.2742629054137357,2.5413393915069507,100.03957767853635,166.23464345294443,588.8036500148535,331.3525535541974,4.23099041453303,17.41413612137886,0.03900247546786822
Gas Turbine,1.0,0.0,214.39858653886657,149.1949337737949,133.70771643070324,258.27944941351313,133.70771643070324,0.0,258.27944941351313,324.94409822071685,36.169511931552115,6582.851171542483,164034.569719769,0.0,0.03512059608553718,0.0,0.12623159664111688,0.0,4.593528015307124,10.761643725563037,0.0,1.7578382798734333,9.900712227517987,0.0,0.10416819436287028,0.0,0.032914255857712446,0.0,0.30201542462846054,8.178849231427911,0.0,0.0,36.534860536921364,892.9841594718241,0.0,78.54063747879411,1919.6883226775888,1998.2289601563848,36562.92797865462,0.19506924762235245,5.063482771122159,25.5136915015811,9.763507141551344,0.5785782009807211,0.18281463989327676,1.6774749924272718,0.0,0.0,8794.830463617356,13200.140011245672,217644.06523715,324863.05627191224,134.05449291265668,-0.1599486515368158,1993.2917089819002,-10.158519760710973,1.8950433658400758,-0.4744100066178503,-0.14990038403556394,6.803389663629102,189.82427437149298,301.4487700231313,929.5190200087462,348.1063029695678,67.00598019687378,83.63094667777324,0.6948333333333311,193.89968383789352,177.90864886011875,172.43770104395927,210.1445878254221,172.43770104395927,0.0,210.1445878254221,277.62708134996757,81.81512051786,14890.35193425052,136767.05974027666,0.0,0.07944248202284211,0.0,0.2855347706073313,0.0,10.390520305768217,11.071290737151848,0.0,3.976214857167999,9.60790494484733,0.0,0.23562754709143713,0.0,0.07445175967125267,0.0,0.6831562563241308,7.037112928199199,0.0,0.0,82.6415358766263,742.1571650976615,0.0,177.65823694379444,1595.4487303248045,1646.0044947880626,39373.38222661982,0.21006348429693442,5.452693576993794,27.474832652633175,10.513991078095785,0.6230513231463092,0.19686691113310253,1.8064161625949073,0.0,0.0,19893.82979998981,29858.60157351431,181301.8400731822,270382.32966695685,112.67820327200411,0.24043683033117957,1641.844150391077,25.54353332509082,9.081139033742014,0.7131391054106064,0.22533214789022057,5.868384242203723,157.9010681731152,249.19296516249375,765.674262275555,331.3308816516556,3.0890526043083333,13.89959940112377,0.01718522377756988
Gas Turbine,1.0,1.0,214.39858653886657,149.1949337737949,133.70771643070324,214.39858653886657,357.72413350847233,0.0,214.39858653886657,269.7371220237077,188.10032363915082,34234.25890232548,136165.61430376707,0.0,0.18264541425361533,0.0,0.6564701295006355,0.0,23.888741102172098,8.933274439119476,0.0,9.141675728862701,8.2186124839899,0.0,0.541728932080755,0.0,0.1711712945116278,0.0,1.570637702386909,6.789288573730775,0.0,0.0,190.00032690823312,741.2689705940667,0.0,408.45227208329686,1593.5393385413934,2001.99161062469,26997.963755221124,0.14403858684788795,3.7388615159527108,18.83923844457178,7.2093463654040875,0.4272205253572058,0.13498981877610788,1.2386428426159042,0.0,0.0,45737.70471906099,68647.61163756346,180680.0276604792,269708.85437390406,143.4019094508713,0.03860682740572688,1998.9092192382363,13.982777096719836,10.150941847448538,0.11450840672354769,0.036181475735519206,7.121283433501786,199.38159839880473,311.32047606931866,931.2692975023012,348.1063029695678,72.26403822950671,88.27716802806545,0.6948333333333311,193.89968383789352,177.90864886011875,172.43770104395927,193.89968383789352,319.7947387530667,0.0,193.89968383789352,254.79349671648166,225.37337993147392,41017.955147528206,125848.56319375495,0.0,0.2188375519134608,0.0,0.7865530959608431,0.0,28.62241925129714,9.993563401137038,0.0,10.953146264669613,8.712812522428028,0.0,0.6490753342026443,0.0,0.20508977573764098,0.0,1.8818677224278035,6.453604704726969,0.0,0.0,227.6498787186604,683.1502219247395,0.0,489.38921166716466,1468.5988432753452,1608.745770706313,33973.32647267427,0.18125329673055882,4.70485715401462,23.706661879276677,9.071998167976473,0.5375998914355502,0.1698666323633744,1.5586663519056478,0.0,0.0,54800.868512152716,82250.49250133583,166854.1747137814,248874.37702746503,115.3246809869483,0.29336672590421836,1605.7204695674166,35.13779756931321,13.37988010375444,0.8701299388301634,0.2749368903942919,5.865826742024128,159.66038750062813,249.00176496583111,748.342568367699,331.3308816516556,5.859414523737826,17.5397635176998,0.01718522377756988
Microturbine,1.0,0.0,214.39858653886657,149.1949337737949,133.70771643070324,258.27944941351313,133.70771643070324,0.0,258.27944941351313,381.42866983982117,30.227724314002888,5501.445825148529,221541.35006318553,0.0,0.02935112030889682,0.0,0.10549475785586977,0.0,3.8389209878783643,7.3179177333828695,0.0,1.469067401660538,11.6225752236081,0.0,0.08705584602432788,0.0,0.02750722912574264,0.0,0.25240149802192385,7.3179177333828695,0.0,0.0,30.533054862629122,921.532800684821,0.0,65.6382851294159,1981.060624284055,2046.6989094134738,46193.1967046405,0.24644831868241263,6.397147837655486,32.233714183997805,12.335106372775734,0.730969266534731,0.23096598352320663,2.1193032554051934,0.0,0.0,7350.049708873997,11031.672031440912,276831.927403685,387413.08208468335,180.84959918369356,-0.2170971983735155,2040.407256333674,-21.076875462736577,0.7565362524928764,-0.643913420510403,-0.20345875439746394,5.451015975999598,237.9234716034673,352.1864950553521,952.0658555474488,348.1063029695678,70.43121050189728,86.45724471574246,0.7383333333333395,193.89968383789352,177.90864886011875,172.43770104395927,210.1445878254221,172.43770104395927,0.0,210.1445878254221,324.345051019928,71.80903512245483,13069.24439228677,230042.89047711252,0.0,0.06972657310390362,0.0,0.25061353257736735,0.0,9.119747460551764,7.448299282560781,0.0,3.4899191069513047,11.201434090517848,0.0,0.20681002115266986,0.0,0.06534622196143387,0.0,0.5996054432724975,7.448299282560781,0.0,0.0,72.5343789115705,756.265883561082,0.0,155.93042576653576,1625.7788787321354,1666.768300553831,47276.417113611984,0.2522274781170893,6.547159562136557,32.989587766082096,12.624361932534029,0.7481103367426276,0.2363820855680642,2.1690004554871267,0.0,0.0,17460.79103453446,26206.859508711717,269498.90941181884,352700.9943199266,196.64797582770913,0.27502742929361407,1661.5448756596893,32.823246088369615,10.82636362731493,0.8157353206647651,0.2577497020156813,6.571338715934367,235.67981833716283,319.864717882916,775.3329914661992,331.3308816516556,3.1501826018092407,13.060227842717058,0.032294022027787105
Microturbine,1.0,1.0,214.39858653886657,149.1949337737949,133.70771643070324,214.39858653886657,357.72413350847233,0.0,214.39858653886657,316.62514328861533,168.3272117064646,30635.55253057654,183902.17425860104,0.0,0.16344572256697706,0.0,0.5874619688555609,0.0,21.377555886721026,6.074626618601226,0.0,8.180702488934175,9.647936394249033,0.0,0.48478236971461675,0.0,0.1531777626528829,0.0,1.4055322177489764,6.074626618601226,0.0,0.0,170.02748657218652,764.9672878143142,0.0,365.51575640479797,1644.4846799030122,2010.0004363078158,34739.2139384937,0.1853394326058918,4.810922455733877,24.241099836194547,9.27651537038757,0.5497194293562068,0.173696069692472,1.5938045955297837,0.0,0.0,40929.75576151915,61431.37254472115,229813.03946712497,321634.76988417277,179.79851285068366,-0.021893710038914726,2005.7769758209313,3.2110826691277192,8.552123512795612,-0.06493705964158823,-0.020518307039589137,5.886354240820424,235.9544663405094,348.2779988801922,934.9947743864999,348.1063029695678,74.73314464901938,90.76762114730936,0.7383333333333395,193.89968383789352,177.90864886011875,172.43770104395927,193.89968383789352,319.7947387530667,0.0,193.89968383789352,297.81822982001995,211.36780770072053,38468.941001531166,207506.16547078616,0.0,0.20523814127739962,0.0,0.7376736488755146,0.0,26.843711577991513,6.7287034524184595,0.0,10.272475454255025,10.163765097574379,0.0,0.6087392861780754,0.0,0.19234470500765574,0.0,1.7649211943010175,6.7287034524184595,0.0,0.0,213.5028360613342,697.1208821645613,0.0,458.9766760117119,1498.6322016927488,1613.9049252110087,41156.81928141563,0.2195784149574092,5.699676061701011,28.719318949111162,10.99022756635436,0.6512727446727382,0.20578409640708184,1.8882386868121825,0.0,0.0,51395.33089946609,77139.12924231771,244336.19317116193,321684.59593837115,182.75875639848584,0.3107096290107144,1609.906768525063,38.75043355094937,14.047184387766592,0.9215692394961644,0.29119028053529905,6.291418147082189,221.5887829224502,304.4878131266278,750.7424596388698,331.3308816516556,4.956528925408178,16.832066185128145,0.032294022027787105
None,0.0,0.0,214.39858653886776,149.19493377379624,133.70771643070452,258.2794494135094,133.70771643070452,258.2794494135094,0.0,0.0,133.70771643070452,24334.804390387988,0.0,43969.49346815645,0.12983019265421328,2.2496140043916695,0.4666399303431461,6.4569862353378875,16.980879986699236,0.0,22.496140043916853,6.49819501853221,0.0,8.00666293181887,0.38507822332042513,4.958965428739508,0.12167402195193942,1.3198079865030385,1.1164594321963657,0.0,1.575504641422437,509.5445091145542,135.05829942495134,0.0,1055.184131712439,290.34091762627656,0.0,1345.5250493386795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74291.59248185759,133741.24547292746,32511.821003027027,48796.91439600415,0.0,0.0,68.30429785854434,2.3794441970458733,1352.4486755043679,39.477020030615435,14.504857950351063,5.3440436520598515,1.4414820084549613,2.691964073618784,106.80341348488402,182.53815986893198,644.6028085395097,348.10630296956356,59.962855179885146,84.7284898348016,1.0,193.85358584405606,177.8663525982767,172.39670545323517,210.09462774440118,172.39670545323517,210.09462774440118,0.0,0.0,172.39670545323517,31376.200392488834,0.0,35766.50942720691,0.16739720099509164,1.8299242076537314,0.6016645020317917,5.252365693610028,21.8943815925609,0.0,18.299242076537347,8.37847988502724,0.0,6.512933460076443,0.4965025117053183,4.0338168526925,0.15688100196244414,1.07358354777389,1.4395124905345171,0.0,1.2815772292408467,414.48347595875464,174.1380863163994,0.0,858.3281320187116,374.3524980697737,0.0,1120.4033740574557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60431.693278180115,108790.37122586234,41919.2772027631,62916.542909583135,0.0,0.0,59.87836831232891,1.9332415302601387,1125.9335520263396,35.862223421197015,13.299855651262522,4.344769755814046,1.1728420408059617,2.4264036810796252,91.61220383258336,154.45164785018267,535.8439181280323,331.25211056426605,6.298633391514078,19.612658139161994,0.0
Reciprocating Engine,1.0,0.0,214.3985865388669,149.1949337737947,133.7077164307027,258.27944941351336,133.7077164307027,0.0,258.27944941351336,285.92294991058134,42.07565933484446,7657.769998941689,128726.47758769472,0.0,0.040855465214134044,0.0,0.14684405107860687,0.0,5.34360873552524,30.476975030794485,0.0,2.044877043673443,19.112679256599925,0.0,0.12117789888435213,0.0,0.03828884999470847,0.0,0.35133175544595197,20.145797054254007,0.0,0.0,42.50066599479243,718.427647663793,0.0,91.36559853926258,1544.436316456775,1635.8019149960385,30284.58047809612,0.1615732288144334,4.194014537649308,21.132646817126755,8.086981380413452,0.4792285262466401,0.15142290239048348,1.389429928528026,0.0,0.0,10230.945089752991,15355.601019346872,171853.26204143013,258106.83094890128,106.09966710854043,-0.12071776360029933,1631.7547445094674,14.68793694919303,13.070574919859949,-0.35805062736228804,-0.11313405239577487,19.107698881171913,151.7568097474512,243.13519615774555,760.9283136585852,348.1063029695682,77.07109976608103,97.5847250919678,0.7991999999999975,193.91236655261645,177.92028562298293,172.44897995956444,210.15833309723118,172.44897995956444,0.0,210.15833309723118,261.1137964976804,91.11504800023525,16582.93873604281,106969.2096346348,0.0,0.08847271160822831,0.0,0.3179915175208208,0.0,11.571611096029867,27.545168239801068,0.0,4.42819133281143,16.194643812736434,0.0,0.26241133824067725,0.0,0.082914693680214,0.0,0.7608106508019644,16.71401044937993,0.0,0.0,92.0354020204396,601.833771208827,0.0,197.85265467203394,1293.7892016650671,1355.860533448402,37300.16242431348,0.19900251491210366,5.16558000786563,26.02813531805719,9.9603730429745,0.5902443284724609,0.18650081212157066,1.7112986606759064,0.0,0.0,22155.16209792652,33252.62981182995,143053.9769504657,215251.6676462135,90.22658895350335,0.23541051648317296,1352.2909800487032,25.50187311993335,16.424867248618774,0.6982309860674007,0.22062159629218953,15.724772391592788,126.6941495016915,201.19285321597772,630.7075812878126,331.3525535541974,2.285328609138849,16.955729939754573,0.019016930406146326
Reciprocating Engine,1.0,1.0,214.3985865388669,149.1949337737947,133.7077164307027,214.3985865388669,357.7241335084724,0.0,214.3985865388669,237.3455435926163,204.65699360828026,37247.57283670697,106856.25553097142,0.0,0.1987219407936399,0.0,0.7142529076928973,0.0,25.991438188251585,25.299033211586337,0.0,9.946329889362405,15.865495403876174,0.0,0.5894121415918472,0.0,0.18623786418353463,0.0,1.7088858966291403,16.72308975003162,0.0,0.0,206.72423596795986,596.3690589372228,0.0,444.4044136649209,1282.0414632272464,1726.4458768921681,22079.576413074556,0.11779817965435233,3.057729808360707,15.407176947580425,5.895974800413519,0.3493910992837032,0.11039788206537458,1.0129915552152247,0.0,0.0,49763.55681505047,74690.0034211762,142667.80006669986,214290.8891381575,122.02425195460393,0.08092376113928768,1724.1023999914987,35.883294452257395,19.91585049282505,0.24002104230814322,0.07583998211816027,17.418984091445537,170.32056395106787,266.8702174268307,803.0932949051821,348.1063029695682,81.50814558891699,99.62286087263493,0.7991999999999975,193.91236655261645,177.92028562298293,172.44897995956444,193.91236655261645,319.8156560921842,0.0,193.91236655261645,238.0629169425726,237.3798597699845,43203.1344781372,98466.61788919408,0.0,0.23049584383665478,0.0,0.8284557105972455,0.0,30.14724219078801,25.138062841525553,0.0,11.536661184821241,14.875882325609465,0.0,0.6836539961375543,0.0,0.21601567239068584,0.0,1.9821218290793723,15.388199004197006,0.0,0.0,239.77763613129736,553.5061137591014,0.0,515.460798759008,1189.8970567881913,1366.8810825689773,31925.497018029786,0.17032778903572623,4.421259812799427,22.277681985102067,8.525160192725325,0.5051946780873398,0.1596274850901516,1.4647137368161889,0.0,0.0,57720.3150019028,86632.2827563569,131667.06724225558,198091.09152476478,97.5729070430587,0.29933045471544995,1364.5517814816421,38.004540930882875,19.59490960126407,0.8878184444700727,0.2805259668291208,14.86334723672359,134.70701014147733,210.1128507851205,635.834025865872,331.3525535541974,4.165343853529646,17.192325754598222,0.019016930406146326
