alpha_CHP,beta_ABC,PM_id,percent_change_co2_int_mean,percent_change_n2o_int_mean,percent_change_ch4_int_mean,percent_change_co_int_mean,percent_change_nox_int_mean,percent_change_pm_int_mean,percent_change_so2_int_mean,percent_change_voc_int_mean,percent_change_GHG_int_100_mean,percent_change_GHG_int_20_mean,percent_change_NG_int_mean,percent_change_TFCE_mean,percent_change_co2_int_std,percent_change_n2o_int_std,percent_change_ch4_int_std,percent_change_co_int_std,percent_change_nox_int_std,percent_change_pm_int_std,percent_change_so2_int_std,percent_change_voc_int_std,percent_change_GHG_int_100_std,percent_change_GHG_int_20_std,percent_change_NG_int_std,percent_change_TFCE_std
0.0,1.0,None,27.71168995138451,162.04574324735717,24.91340760954222,172.5328315324282,135.69112856356568,41.09373896774745,-7.5399537241105925,115.59278038952037,27.14249225443494,26.39938237761763,23.613086430256175,21.135199825047952,24.354872757377873,178.10334058732224,21.80987652718906,193.28194405302065,142.2385585710603,36.82319448579137,6.336736649840436,116.95982200436084,23.835510093322014,23.15876239739184,20.634271071715986,16.88676563356783
1.0,0.0,FC1,-12.563981883423567,-246.95915659407675,23.60614471129754,-256.36411773798017,-223.45741668757555,-142.63971448343148,-106.19605547953347,-205.71889425955348,-3.7666007171107205,5.359413020586757,20.53515722115479,37.8155281006075,8.588435579654785,140.3361810377692,13.13479932360914,151.59159015372688,113.80266391238078,37.48524251800177,6.317016142483789,95.20580710347635,4.737151458956796,4.649281626696732,12.463243640455152,12.054642270207465
1.0,0.0,FC2,-12.280662814073048,-84.33827247483325,-9.748157116636675,-84.78759220317782,-83.63930060556446,-87.99554397921294,-97.15997511235226,-83.57139026057281,-11.717307490240536,-11.057520947296542,-12.22754947287801,27.42257475014689,4.240462938180019,50.40247837713888,3.2536842687606957,53.22606631129835,43.582271741043265,20.331375480080805,4.60187633750488,38.59497006180541,3.3588345154663135,2.7787516495968605,3.1059140622662054,7.423126944054274
1.0,0.0,FC3,-4.64788966059972,-140.15874898846187,-1.45825969762309,-143.7889444458404,-131.3943339161461,-106.2283232954698,-100.13318032060134,-125.11482296861271,-3.977410653127897,-3.1273491860064366,-4.070604276252731,35.34599846856361,6.026482181506234,85.90796439629239,6.524313620594097,91.8524504910308,71.7302272084188,27.748588761269048,5.3678859321761045,61.59386425361407,4.248564405057005,3.568833879193722,6.119751344789587,10.376151950219166
1.0,0.0,FC4,-18.69115244296577,-237.68237144726658,28.13357901382015,-234.556684764073,-215.44479747771655,-139.43056390115845,-105.65507447141712,-66.99054669532822,-7.220712335589933,4.560283320332887,24.910577292167307,30.384184831230716,9.554386567635055,135.89929453742047,13.626070440212679,140.2939992118567,110.42903907691264,36.81975710724855,6.270888720178355,39.87383433400855,5.140053412318975,4.536307726075503,12.914640303265921,10.917227710305228
1.0,0.0,FC5,-11.865341357874984,-167.95405644982876,6.415654410191603,-173.10738730239143,-155.30651824417197,-115.57665706294637,-101.67447146437404,-146.01284054027306,-7.449779963878589,-2.8222905600748733,3.641071856281465,34.11472410782877,7.692763421663656,100.93093903187926,8.486630592917072,108.27669129547095,83.48313084179027,30.72210993377763,5.690184966222471,71.09449927870084,4.909967231673143,3.7820643748180895,7.9847336513907265,10.622960165541368
1.0,0.0,GT1,33.1774854929463,-293.4318468770899,77.80204583501221,-221.0679306033277,-213.86075183965332,-158.72492097942998,-108.91163269328183,285.8736471734933,43.97734554340466,55.250980251537705,73.31303116764158,5.476309130003284,3.999180407149561,162.64882775175747,22.793459665044995,131.36580876683655,108.39106539320954,40.77324621550583,6.5309293003480935,105.29339491704681,7.098861765984812,12.101046114577043,21.647181092973224,8.378721379311623
1.0,0.0,GT2,24.32662206353752,-293.4318468770899,66.21532806996309,-221.0679306033277,-213.86075183965332,-158.72492097942998,-108.91163269328183,285.8736471734933,34.45548014360392,45.04226629163361,62.05512887873069,12.788514581414567,4.111722431134353,162.64882775175747,20.912469761885422,131.36580876683655,108.39106539320954,40.77324621550583,6.5309293003480935,105.29339491704681,5.793849116422812,10.470847803353653,19.867752793949485,9.21657143444722
1.0,0.0,GT3,12.59110365279084,-246.95915659407675,49.40242056392132,-220.2571004680741,-198.58993175804505,-142.63971448343148,-106.19605547953347,189.38127102542825,21.517131805384988,30.813413223488727,45.59936943858235,14.109669233661586,5.213059964808255,140.3361810377692,17.204555339306875,132.38354525389448,102.63457384407891,37.48524251800177,6.317016142483789,65.66443418360532,4.366535446988822,7.834698571857817,16.304653991193224,8.890983601149717
1.0,0.0,GT4,18.414040119507153,-246.95915659407675,49.60675691128482,-220.2571004680741,-198.58993175804505,-142.63971448343148,-106.19605547953347,189.38127102542825,25.932285127764768,33.827655735260166,45.79790699506192,13.954552055528847,4.678839018327531,140.3361810377692,17.237193188928096,132.38354525389448,102.63457384407891,37.48524251800177,6.317016142483789,65.66443418360532,4.732227172351945,8.28166762814757,16.33548802228163,8.872004915921558
1.0,0.0,GT5,8.700252707457292,-196.93119238438072,33.596175285087256,-167.54759386712303,-155.4092689756089,-125.4262196812869,-103.30904215273338,227.232451932657,14.711379577489735,21.01077737219297,30.117858808757664,14.33975786875986,5.5337325715853645,115.8483495702687,13.41607037733902,105.4634090536839,83.91454785556891,33.49769266990673,5.979815782369746,80.56483244367504,4.049892084921843,6.04691162702968,12.657170859038107,8.227557078738327
