datetime,Qe_nom,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-07:00,500,10.0,97.7,0.74,83.05,3.284,86.34,0.1645,0.003761
2020-01-01 01:30:00-07:00,500,8.9,97.7,0.8,83.05,3.284,86.34,0.1552,0.00355
2020-01-01 02:30:00-07:00,500,8.9,97.7,0.8,83.05,3.284,86.34,0.1552,0.00355
2020-01-01 03:30:00-07:00,500,8.9,97.7,0.77,83.05,3.284,86.34,0.1578,0.00361
2020-01-01 04:30:00-07:00,500,8.3,97.8,0.8,83.05,3.284,86.34,0.1531,0.003501
2020-01-01 05:30:00-07:00,500,7.8,97.8,0.79,83.05,3.284,86.34,0.1522,0.003481
2020-01-01 06:30:00-07:00,500,7.2,97.8,0.82,83.05,3.284,86.34,0.1477,0.003377
2020-01-01 07:30:00-07:00,500,7.8,97.9,0.79,83.05,3.284,86.34,0.1521,0.00348
2020-01-01 08:30:00-07:00,500,8.3,98.0,0.76,83.05,3.284,86.34,0.1564,0.003577
2020-01-01 09:30:00-07:00,500,11.7,98.0,0.59,83.05,3.284,86.34,0.1855,0.004243
2020-01-01 10:30:00-07:00,500,15.0,98.1,0.42,83.05,3.284,86.34,0.2197,0.005025
2020-01-01 11:30:00-07:00,500,16.7,98.0,0.38,83.05,3.284,86.34,0.2335,0.00534
2020-01-01 12:30:00-07:00,500,16.7,97.9,0.38,83.05,3.284,86.34,0.2335,0.005341
2020-01-01 13:30:00-07:00,500,17.8,97.8,0.37,83.05,3.284,86.34,0.2405,0.005502
2020-01-01 14:30:00-07:00,500,17.8,97.8,0.37,83.05,3.284,86.34,0.2405,0.005502
2020-01-01 15:30:00-07:00,500,18.3,97.8,0.34,83.05,3.284,86.34,0.2476,0.005662
2020-01-01 16:30:00-07:00,500,18.9,97.8,0.33,83.05,3.284,86.34,0.2522,0.005769
2020-01-01 17:30:00-07:00,500,17.2,97.9,0.36,83.05,3.284,86.34,0.2389,0.005464
2020-01-01 18:30:00-07:00,500,15.0,97.9,0.45,83.05,3.284,86.34,0.2161,0.004942
2020-01-01 19:30:00-07:00,500,15.0,97.9,0.44,83.05,3.284,86.34,0.2173,0.004971
2020-01-01 20:30:00-07:00,500,14.4,97.9,0.46,83.05,3.284,86.34,0.2121,0.00485
2020-01-01 21:30:00-07:00,500,13.3,98.0,0.49,83.05,3.284,86.34,0.2034,0.004652
2020-01-01 22:30:00-07:00,500,13.9,98.0,0.42,83.05,3.284,86.34,0.2145,0.004905
2020-01-01 23:30:00-07:00,500,12.8,97.9,0.43,83.05,3.284,86.34,0.208,0.004758
2020-01-02 00:30:00-07:00,500,13.3,97.9,0.42,83.05,3.284,86.34,0.2116,0.00484
2020-01-02 01:30:00-07:00,500,12.8,97.9,0.41,83.05,3.284,86.34,0.2104,0.004811
2020-01-02 02:30:00-07:00,500,12.8,98.0,0.39,83.05,3.284,86.34,0.2126,0.004863
2020-01-02 03:30:00-07:00,500,12.8,98.0,0.38,83.05,3.284,86.34,0.2138,0.00489
2020-01-02 04:30:00-07:00,500,11.1,98.0,0.42,83.05,3.284,86.34,0.2008,0.004592
2020-01-02 05:30:00-07:00,500,11.1,97.9,0.42,83.05,3.284,86.34,0.2009,0.004594
2020-01-02 06:30:00-07:00,500,12.8,98.0,0.34,83.05,3.284,86.34,0.2185,0.004998
2020-01-02 07:30:00-07:00,500,12.2,98.1,0.36,83.05,3.284,86.34,0.2129,0.00487
2020-01-02 08:30:00-07:00,500,12.8,98.2,0.34,83.05,3.284,86.34,0.2183,0.004994
2020-01-02 09:30:00-07:00,500,15.0,98.2,0.3,83.05,3.284,86.34,0.2353,0.005381
2020-01-02 10:30:00-07:00,500,16.1,98.2,0.28,83.05,3.284,86.34,0.2442,0.005584
2020-01-02 11:30:00-07:00,500,17.2,98.1,0.25,83.05,3.284,86.34,0.2549,0.00583
2020-01-02 12:30:00-07:00,500,17.2,98.1,0.22,83.05,3.284,86.34,0.2595,0.005935
2020-01-02 13:30:00-07:00,500,17.2,98.0,0.25,83.05,3.284,86.34,0.255,0.005832
2020-01-02 14:30:00-07:00,500,18.3,98.0,0.23,83.05,3.284,86.34,0.2646,0.006051
2020-01-02 15:30:00-07:00,500,18.3,97.9,0.23,83.05,3.284,86.34,0.2647,0.006053
2020-01-02 16:30:00-07:00,500,17.8,98.0,0.25,83.05,3.284,86.34,0.2585,0.005912
2020-01-02 17:30:00-07:00,500,16.7,98.0,0.28,83.05,3.284,86.34,0.2477,0.005665
2020-01-02 18:30:00-07:00,500,16.1,98.0,0.3,83.05,3.284,86.34,0.2415,0.005524
2020-01-02 19:30:00-07:00,500,14.4,98.0,0.34,83.05,3.284,86.34,0.227,0.005192
2020-01-02 20:30:00-07:00,500,13.9,97.9,0.35,83.05,3.284,86.34,0.2232,0.005104
2020-01-02 21:30:00-07:00,500,12.2,97.9,0.39,83.05,3.284,86.34,0.2097,0.004795
2020-01-02 22:30:00-07:00,500,12.2,97.9,0.39,83.05,3.284,86.34,0.2097,0.004795
2020-01-02 23:30:00-07:00,500,11.7,97.8,0.44,83.05,3.284,86.34,0.2017,0.004613
2020-01-03 00:30:00-07:00,500,11.7,97.8,0.41,83.05,3.284,86.34,0.205,0.004689
2020-01-03 01:30:00-07:00,500,11.1,97.8,0.44,83.05,3.284,86.34,0.1988,0.004547
2020-01-03 02:30:00-07:00,500,11.1,97.8,0.42,83.05,3.284,86.34,0.2009,0.004596
2020-01-03 03:30:00-07:00,500,11.1,97.8,0.42,83.05,3.284,86.34,0.2009,0.004596
2020-01-03 04:30:00-07:00,500,10.0,97.9,0.5,83.05,3.284,86.34,0.1874,0.004286
2020-01-03 05:30:00-07:00,500,10.0,97.8,0.5,83.05,3.284,86.34,0.1875,0.004287
2020-01-03 06:30:00-07:00,500,10.0,97.8,0.47,83.05,3.284,86.34,0.1905,0.004356
2020-01-03 07:30:00-07:00,500,10.6,97.9,0.46,83.05,3.284,86.34,0.1942,0.004443
2020-01-03 08:30:00-07:00,500,12.2,98.0,0.41,83.05,3.284,86.34,0.2073,0.004742
2020-01-03 09:30:00-07:00,500,15.0,98.1,0.33,83.05,3.284,86.34,0.2314,0.005292
2020-01-03 10:30:00-07:00,500,16.1,98.1,0.3,83.05,3.284,86.34,0.2414,0.005522
2020-01-03 11:30:00-07:00,500,17.2,97.9,0.28,83.05,3.284,86.34,0.2506,0.005732
2020-01-03 12:30:00-07:00,500,17.2,97.8,0.28,83.05,3.284,86.34,0.2507,0.005734
2020-01-03 13:30:00-07:00,500,17.8,97.7,0.27,83.05,3.284,86.34,0.2557,0.005848
2020-01-03 14:30:00-07:00,500,18.3,97.7,0.28,83.05,3.284,86.34,0.2569,0.005876
2020-01-03 15:30:00-07:00,500,18.3,97.7,0.28,83.05,3.284,86.34,0.2569,0.005876
2020-01-03 16:30:00-07:00,500,18.3,97.7,0.28,83.05,3.284,86.34,0.2569,0.005876
2020-01-03 17:30:00-07:00,500,17.2,97.7,0.31,83.05,3.284,86.34,0.2463,0.005634
2020-01-03 18:30:00-07:00,500,17.2,97.7,0.31,83.05,3.284,86.34,0.2463,0.005634
2020-01-03 19:30:00-07:00,500,15.6,97.7,0.37,83.05,3.284,86.34,0.2295,0.00525
2020-01-03 20:30:00-07:00,500,13.9,97.7,0.44,83.05,3.284,86.34,0.2123,0.004855
2020-01-03 21:30:00-07:00,500,14.4,97.8,0.39,83.05,3.284,86.34,0.2208,0.00505
2020-01-03 22:30:00-07:00,500,11.7,97.8,0.52,83.05,3.284,86.34,0.193,0.004415
2020-01-03 23:30:00-07:00,500,12.2,97.7,0.45,83.05,3.284,86.34,0.2031,0.004644
2020-01-04 00:30:00-07:00,500,11.1,97.7,0.5,83.05,3.284,86.34,0.1925,0.004404
2020-01-04 01:30:00-07:00,500,10.6,97.8,0.5,83.05,3.284,86.34,0.1902,0.00435
2020-01-04 02:30:00-07:00,500,10.0,97.8,0.54,83.05,3.284,86.34,0.1835,0.004197
2020-01-04 03:30:00-07:00,500,8.9,97.7,0.61,83.05,3.284,86.34,0.1722,0.003939
2020-01-04 04:30:00-07:00,500,7.8,97.8,0.65,83.05,3.284,86.34,0.1641,0.003754
2020-01-04 05:30:00-07:00,500,7.8,97.7,0.65,83.05,3.284,86.34,0.1642,0.003755
2020-01-04 06:30:00-07:00,500,7.2,97.7,0.68,83.05,3.284,86.34,0.1593,0.003642
2020-01-04 07:30:00-07:00,500,7.2,97.8,0.65,83.05,3.284,86.34,0.1617,0.003699
2020-01-04 08:30:00-07:00,500,8.9,97.9,0.63,83.05,3.284,86.34,0.1703,0.003894
2020-01-04 09:30:00-07:00,500,11.1,98.0,0.54,83.05,3.284,86.34,0.1882,0.004304
2020-01-04 10:30:00-07:00,500,12.2,98.1,0.5,83.05,3.284,86.34,0.1972,0.004511
2020-01-04 11:30:00-07:00,500,13.9,98.0,0.45,83.05,3.284,86.34,0.2109,0.004823
2020-01-04 12:30:00-07:00,500,16.1,97.9,0.39,83.05,3.284,86.34,0.2292,0.005242
2020-01-04 13:30:00-07:00,500,17.2,97.9,0.36,83.05,3.284,86.34,0.2389,0.005464
2020-01-04 14:30:00-07:00,500,18.3,97.9,0.33,83.05,3.284,86.34,0.249,0.005695
2020-01-04 15:30:00-07:00,500,18.9,97.9,0.32,83.05,3.284,86.34,0.2537,0.005803
2020-01-04 16:30:00-07:00,500,18.9,97.9,0.3,83.05,3.284,86.34,0.2569,0.005875
2020-01-04 17:30:00-07:00,500,17.2,97.9,0.34,83.05,3.284,86.34,0.2418,0.00553
2020-01-04 18:30:00-07:00,500,16.1,98.0,0.36,83.05,3.284,86.34,0.2332,0.005333
2020-01-04 19:30:00-07:00,500,15.0,98.1,0.39,83.05,3.284,86.34,0.2236,0.005113
2020-01-04 20:30:00-07:00,500,14.4,98.2,0.44,83.05,3.284,86.34,0.2143,0.004901
2020-01-04 21:30:00-07:00,500,12.2,98.2,0.5,83.05,3.284,86.34,0.1972,0.004509
2020-01-04 22:30:00-07:00,500,11.1,98.4,0.57,83.05,3.284,86.34,0.1848,0.004227
2020-01-04 23:30:00-07:00,500,9.4,98.3,0.63,83.05,3.284,86.34,0.172,0.003934
2020-01-05 00:30:00-07:00,500,10.0,98.3,0.58,83.05,3.284,86.34,0.1792,0.004099
2020-01-05 01:30:00-07:00,500,9.4,98.4,0.61,83.05,3.284,86.34,0.1738,0.003975
2020-01-05 02:30:00-07:00,500,8.3,98.4,0.65,83.05,3.284,86.34,0.1657,0.00379
2020-01-05 03:30:00-07:00,500,7.2,98.5,0.63,83.05,3.284,86.34,0.1629,0.003727
2020-01-05 04:30:00-07:00,500,7.8,98.6,0.5,83.05,3.284,86.34,0.1768,0.004043
2020-01-05 05:30:00-07:00,500,6.7,98.6,0.57,83.05,3.284,86.34,0.1658,0.003792
2020-01-05 06:30:00-07:00,500,6.7,98.7,0.54,83.05,3.284,86.34,0.1683,0.003849
2020-01-05 07:30:00-07:00,500,6.1,98.7,0.62,83.05,3.284,86.34,0.1591,0.003639
2020-01-05 08:30:00-07:00,500,10.6,98.8,0.31,83.05,3.284,86.34,0.2094,0.004789
2020-01-05 09:30:00-07:00,500,11.7,98.9,0.31,83.05,3.284,86.34,0.2153,0.004924
2020-01-05 10:30:00-07:00,500,13.9,98.9,0.27,83.05,3.284,86.34,0.2324,0.005316
2020-01-05 11:30:00-07:00,500,15.6,98.8,0.22,83.05,3.284,86.34,0.2492,0.005699
2020-01-05 12:30:00-07:00,500,16.7,98.7,0.16,83.05,3.284,86.34,0.265,0.00606
2020-01-05 13:30:00-07:00,500,17.8,98.6,0.15,83.05,3.284,86.34,0.2738,0.006262
2020-01-05 14:30:00-07:00,500,17.2,98.6,0.16,83.05,3.284,86.34,0.2683,0.006136
2020-01-05 15:30:00-07:00,500,17.2,98.7,0.16,83.05,3.284,86.34,0.2682,0.006134
2020-01-05 16:30:00-07:00,500,17.2,98.6,0.17,83.05,3.284,86.34,0.2667,0.0061
2020-01-05 17:30:00-07:00,500,15.6,98.6,0.21,83.05,3.284,86.34,0.2508,0.005736
2020-01-05 18:30:00-07:00,500,14.4,98.6,0.22,83.05,3.284,86.34,0.2422,0.005538
2020-01-05 19:30:00-07:00,500,12.8,98.7,0.31,83.05,3.284,86.34,0.2215,0.005066
2020-01-05 20:30:00-07:00,500,12.2,98.7,0.3,83.05,3.284,86.34,0.2194,0.005017
2020-01-05 21:30:00-07:00,500,12.2,98.6,0.3,83.05,3.284,86.34,0.2195,0.005019
2020-01-05 22:30:00-07:00,500,10.0,98.7,0.39,83.05,3.284,86.34,0.1979,0.004526
2020-01-05 23:30:00-07:00,500,9.4,98.6,0.39,83.05,3.284,86.34,0.1949,0.004458
2020-01-06 00:30:00-07:00,500,8.3,98.5,0.42,83.05,3.284,86.34,0.1866,0.004268
2020-01-06 01:30:00-07:00,500,7.8,98.5,0.4,83.05,3.284,86.34,0.186,0.004253
2020-01-06 02:30:00-07:00,500,7.2,98.5,0.46,83.05,3.284,86.34,0.1776,0.004062
2020-01-06 03:30:00-07:00,500,7.8,98.6,0.38,83.05,3.284,86.34,0.1877,0.004294
2020-01-06 04:30:00-07:00,500,6.1,98.6,0.47,83.05,3.284,86.34,0.1715,0.003922
2020-01-06 05:30:00-07:00,500,5.6,98.5,0.49,83.05,3.284,86.34,0.1676,0.003832
2020-01-06 06:30:00-07:00,500,5.6,98.5,0.49,83.05,3.284,86.34,0.1676,0.003832
2020-01-06 07:30:00-07:00,500,6.1,98.6,0.47,83.05,3.284,86.34,0.1715,0.003922
2020-01-06 08:30:00-07:00,500,6.7,98.7,0.45,83.05,3.284,86.34,0.1759,0.004024
2020-01-06 09:30:00-07:00,500,8.9,98.7,0.41,83.05,3.284,86.34,0.1904,0.004354
2020-01-06 10:30:00-07:00,500,12.2,98.8,0.3,83.05,3.284,86.34,0.2193,0.005016
2020-01-06 11:30:00-07:00,500,14.4,98.7,0.24,83.05,3.284,86.34,0.2394,0.005475
2020-01-06 12:30:00-07:00,500,15.6,98.5,0.24,83.05,3.284,86.34,0.2466,0.005641
