datetime,Qe,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,500,-8.3,99.1,0.71,83.05,3.284,86.34,0.09495,0.002172
2020-01-01 01:30:00-06:00,500,-7.8,99.1,0.71,83.05,3.284,86.34,0.09681,0.002214
2020-01-01 02:30:00-06:00,500,-7.2,99.0,0.71,83.05,3.284,86.34,0.09911,0.002267
2020-01-01 03:30:00-06:00,500,-6.7,98.9,0.71,83.05,3.284,86.34,0.1011,0.002311
2020-01-01 04:30:00-06:00,500,-6.1,98.8,0.71,83.05,3.284,86.34,0.1034,0.002365
2020-01-01 05:30:00-06:00,500,-6.1,98.8,0.71,83.05,3.284,86.34,0.1034,0.002365
2020-01-01 06:30:00-06:00,500,-5.6,98.6,0.68,83.05,3.284,86.34,0.1068,0.002444
2020-01-01 07:30:00-06:00,500,-5.0,98.5,0.65,83.05,3.284,86.34,0.1107,0.002532
2020-01-01 08:30:00-06:00,500,-4.4,98.4,0.65,83.05,3.284,86.34,0.1132,0.00259
2020-01-01 09:30:00-06:00,500,-3.3,98.4,0.62,83.05,3.284,86.34,0.1194,0.00273
2020-01-01 10:30:00-06:00,500,-2.2,98.3,0.62,83.05,3.284,86.34,0.1242,0.00284
2020-01-01 11:30:00-06:00,500,-1.7,98.1,0.63,83.05,3.284,86.34,0.1259,0.00288
2020-01-01 12:30:00-06:00,500,-0.6,97.9,0.66,83.05,3.284,86.34,0.1292,0.002954
2020-01-01 13:30:00-06:00,500,0.0,97.8,0.69,83.05,3.284,86.34,0.1301,0.002976
2020-01-01 14:30:00-06:00,500,0.6,97.9,0.76,83.05,3.284,86.34,0.1281,0.002931
2020-01-01 15:30:00-06:00,500,0.6,97.8,0.87,83.05,3.284,86.34,0.1216,0.002781
2020-01-01 16:30:00-06:00,500,0.6,97.8,0.87,83.05,3.284,86.34,0.1216,0.002781
2020-01-01 17:30:00-06:00,500,0.6,97.9,0.87,83.05,3.284,86.34,0.1215,0.002779
2020-01-01 18:30:00-06:00,500,0.6,97.9,0.87,83.05,3.284,86.34,0.1215,0.002779
2020-01-01 19:30:00-06:00,500,0.0,97.9,0.87,83.05,3.284,86.34,0.1195,0.002733
2020-01-01 20:30:00-06:00,500,-1.1,97.9,0.91,83.05,3.284,86.34,0.1129,0.002582
2020-01-01 21:30:00-06:00,500,-1.7,98.0,0.96,83.05,3.284,86.34,0.1079,0.002468
2020-01-01 22:30:00-06:00,500,-2.2,98.0,0.95,83.05,3.284,86.34,0.1066,0.002438
2020-01-01 23:30:00-06:00,500,-3.9,98.0,0.96,83.05,3.284,86.34,0.1001,0.002289
2020-01-02 00:30:00-06:00,500,-4.4,97.9,0.95,83.05,3.284,86.34,0.09889,0.002262
2020-01-02 01:30:00-06:00,500,-4.4,98.0,1.0,83.05,3.284,86.34,0.09644,0.002206
2020-01-02 02:30:00-06:00,500,-5.6,97.9,0.96,83.05,3.284,86.34,0.09435,0.002158
2020-01-02 03:30:00-06:00,500,-6.1,97.9,0.95,83.05,3.284,86.34,0.09313,0.00213
2020-01-02 04:30:00-06:00,500,-5.0,97.8,0.91,83.05,3.284,86.34,0.09876,0.002259
2020-01-02 05:30:00-06:00,500,-3.9,97.8,0.91,83.05,3.284,86.34,0.1026,0.002348
2020-01-02 06:30:00-06:00,500,-3.9,97.7,0.96,83.05,3.284,86.34,0.1002,0.002292
2020-01-02 07:30:00-06:00,500,-3.3,97.7,0.95,83.05,3.284,86.34,0.1028,0.002352
2020-01-02 08:30:00-06:00,500,-2.2,97.6,0.91,83.05,3.284,86.34,0.1089,0.002491
2020-01-02 09:30:00-06:00,500,-1.7,97.6,0.91,83.05,3.284,86.34,0.1108,0.002534
