,plant_code,state,generator_id,generator_type,Sector,Year,net_gen_steam_turbine_MWh,net_gen_sscc_MWh,net_gen_ccgt_MWh,fuel_cons_total_MMBTU,water_withdrawal_MGal,water_consumption_MGal,total_gen_MWh,water_consumption_ML,water_consumption_intensity_L_per_kWh,water_consumption_rate_per_fuel_cons_L_per_kWh
108,3469,TX,33,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,4140.0,0.0,8.0,4.0,4140.0,15.14164,3.6574009661835754,inf
109,3469,TX,34,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,1288.0,0.0,0.0,0.0,1288.0,0.0,0.0,
110,3469,TX,4,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,3668.0,0.0,0.0,0.0,16.0,4.0,3668.0,15.14164,4.128037077426391,inf
111,3469,TX,41,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,3840.0,0.0,0.0,0.0,3840.0,0.0,0.0,
112,3469,TX,42,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,2436.0,0.0,0.0,0.0,2436.0,0.0,0.0,
113,3469,TX,43,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,2272.0,0.0,0.0,0.0,2272.0,0.0,0.0,
114,3469,TX,44,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,2616.0,0.0,0.0,0.0,2616.0,0.0,0.0,
115,3485,TX,1,Natural Gas Steam Turbine,Electric Utility,2020,985.0,0.0,0.0,0.0,57.0,57.0,985.0,215.76837,219.05418274111673,inf
116,3490,TX,1,Natural Gas Steam Turbine,IPP Non-CHP,2020,725.0,0.0,0.0,0.0,0.0,36.0,725.0,136.27476000000001,187.96518620689656,inf
117,3491,TX,3,Natural Gas Steam Turbine,IPP Non-CHP,2020,74.0,0.0,0.0,0.0,0.0,2.0,74.0,7.57082,102.30837837837839,inf
118,3504,TX,ST1,Natural Gas Steam Turbine,IPP Non-CHP,2020,1853.0,0.0,0.0,115.0,0.0,9.0,1853.0,34.068690000000004,18.385693470048572,1010.8446947530433
119,3504,TX,ST2,Natural Gas Steam Turbine,IPP Non-CHP,2020,410.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,
120,3507,TX,6,Natural Gas Steam Turbine,IPP Non-CHP,2020,462.0,0.0,0.0,0.0,1333.0,0.0,462.0,0.0,0.0,
121,3576,TX,1,Natural Gas Steam Turbine,Electric Utility,2020,741.0,0.0,0.0,0.0,0.0,2.0,741.0,7.57082,10.217031039136304,inf
122,3576,TX,2,Natural Gas Steam Turbine,Electric Utility,2020,1662.0,0.0,0.0,0.0,0.0,4.0,1662.0,15.14164,9.110493381468112,inf
123,3576,TX,3,Natural Gas Steam Turbine,Electric Utility,2020,1146.0,0.0,0.0,0.0,0.0,3.0,1146.0,11.35623,9.909450261780105,inf
124,3628,TX,1,Natural Gas Steam Turbine,Electric Utility,2020,2529.0,0.0,0.0,0.0,2005.0,0.0,2529.0,0.0,0.0,
125,3628,TX,2,Natural Gas Steam Turbine,Electric Utility,2020,1945.0,0.0,0.0,0.0,784.0,1.0,1945.0,3.78541,1.9462262210796917,inf
126,3648,UT,2,Natural Gas Steam Turbine,Electric Utility,2020,239.0,0.0,0.0,0.0,3.0,1.0,239.0,3.78541,15.838535564853558,inf
127,3648,UT,3,Natural Gas Steam Turbine,Electric Utility,2020,565.0,0.0,0.0,0.0,4.0,3.0,565.0,11.35623,20.099522123893806,inf
128,3775,VA,1,Natural Gas Steam Turbine,Electric Utility,2020,32.0,0.0,0.0,370.0,15.0,9.0,32.0,34.068690000000004,1064.6465625,314.18145918
129,3797,VA,6,Conventional Steam Coal,Electric Utility,2020,745.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,
130,3992,WI,6,Natural Gas Steam Turbine,Electric Utility,2020,89.0,0.0,0.0,0.0,88.0,0.0,89.0,0.0,0.0,
131,3992,WI,7,Natural Gas Steam Turbine,Electric Utility,2020,116.0,0.0,0.0,0.0,163.0,0.0,116.0,0.0,0.0,
