,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
0,100.0,-18.0,83.7,0.85,1.0,145.0,84.61,0.03049
1,100.0,-16.6,83.5,0.83,1.0,145.0,84.61,0.03235
2,100.0,-15.3,83.4,0.85,1.0,145.0,84.61,0.03373
3,100.0,-14.4,83.1,0.9,1.0,145.0,84.61,0.03433
4,100.0,-13.0,83.4,0.86,1.0,145.0,84.61,0.03644
5,100.0,-11.1,83.0,0.88,1.0,145.0,84.61,0.03884
6,100.0,-9.7,82.9,0.84,1.0,145.0,84.61,0.0413
7,100.0,-7.7,82.8,0.82,1.0,145.0,84.61,0.04446
8,100.0,-5.9,82.9,0.8,1.0,145.0,84.61,0.0474
9,100.0,-2.2,82.7,0.66,1.0,145.0,84.61,0.05583
10,100.0,1.4,82.4,0.5,1.0,145.0,84.61,0.06558
11,100.0,2.8,82.3,0.42,1.0,145.0,84.61,0.07007
12,100.0,4.4,82.3,0.34,1.0,145.0,84.61,0.07524
13,100.0,3.3,82.2,0.37,1.0,145.0,84.61,0.07233
14,100.0,3.9,82.2,0.35,1.0,145.0,84.61,0.07402
15,100.0,2.2,82.1,0.36,1.0,145.0,84.61,0.07051
16,100.0,-0.6,82.0,0.54,1.0,145.0,84.61,0.06129
17,100.0,-2.2,82.1,0.62,1.0,145.0,84.61,0.05678
18,100.0,-5.0,82.1,0.68,1.0,145.0,84.61,0.051
19,100.0,-5.6,82.1,0.65,1.0,145.0,84.61,0.05054
20,100.0,-6.1,82.0,0.64,1.0,145.0,84.61,0.04992
21,100.0,-6.1,82.1,0.64,1.0,145.0,84.61,0.04989
22,100.0,-6.1,82.3,0.55,1.0,145.0,84.61,0.0513
23,100.0,-5.0,81.9,0.5,1.0,145.0,84.61,0.05417
24,100.0,-5.0,81.9,0.48,1.0,145.0,84.61,0.05452
25,100.0,-5.6,82.0,0.46,1.0,145.0,84.61,0.05377
26,100.0,-5.0,81.9,0.41,1.0,145.0,84.61,0.05575
27,100.0,-6.7,81.9,0.48,1.0,145.0,84.61,0.05153
28,100.0,-5.6,82.4,0.43,1.0,145.0,84.61,0.05415
29,100.0,-6.1,81.9,0.45,1.0,145.0,84.61,0.05308
30,100.0,-4.4,81.9,0.37,1.0,145.0,84.61,0.05758
31,100.0,-2.8,82.0,0.34,1.0,145.0,84.61,0.06119
32,100.0,-1.7,82.3,0.36,1.0,145.0,84.61,0.06284
33,100.0,2.2,82.4,0.3,1.0,145.0,84.61,0.0719
34,100.0,5.6,82.4,0.25,1.0,145.0,84.61,0.08027
35,100.0,8.9,82.4,0.15,1.0,145.0,84.61,0.0909
36,100.0,9.4,82.4,0.16,1.0,145.0,84.61,0.09167
37,100.0,9.4,82.3,0.19,1.0,145.0,84.61,0.09057
38,100.0,10.0,82.3,0.25,1.0,145.0,84.61,0.0896
39,100.0,7.8,82.3,0.25,1.0,145.0,84.61,0.08495
40,100.0,6.7,82.1,0.26,1.0,145.0,84.61,0.08238
41,100.0,5.0,82.1,0.3,1.0,145.0,84.61,0.07765
42,100.0,1.1,82.3,0.39,1.0,145.0,84.61,0.06762
43,100.0,0.0,82.2,0.43,1.0,145.0,84.61,0.06472
44,100.0,-1.7,82.2,0.46,1.0,145.0,84.61,0.06083
45,100.0,-1.1,82.1,0.38,1.0,145.0,84.61,0.06367
