,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,chiller_type,CoolingDemand_intensity_kWh/sqm,w4e_int_factor_(L/kWhe),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
0,miami,full_service_restaurant,333075.1009053597,529219.3269940747,7078.956144575305,1147310.9278407905,569.52,1A,FRCC,0,AbsorptionChiller,584.8347747319843,0,1147310.9278407905,1.0,3.4446013067989387,0.006048253453432608
1,miami,hospital,18181533.961485554,28888437.294360336,386418.2017947724,59760222.946767494,22422.0,1A,FRCC,0,AbsorptionChiller,810.879224042706,0,59760222.946767494,1.0,3.286863642713493,0.0001465910107355942
2,miami,large_hotel,4501829.695100983,7152907.182215945,95678.88711987901,14898052.597888619,11345.0,1A,FRCC,0,AbsorptionChiller,396.81178449545905,0,14898052.597888619,1.0,3.309332783979167,0.0002916996724529896
3,miami,large_office,10589690.60717502,16825841.742511455,225066.22437115942,35996163.46016976,46320.0,1A,FRCC,0,AbsorptionChiller,228.62026354004794,0,35996163.46016976,1.0,3.3991704569518437,7.338450900155103e-05
4,miami,medium_office,920468.298026496,1462521.8513087677,19563.019560723213,3182063.39843682,4982.0,1A,FRCC,0,AbsorptionChiller,184.75879125381292,0,3182063.39843682,1.0,3.457004880297598,0.0006938990125045359
5,miami,midrise_apartment,405308.6893941922,643990.47314855,8614.160678591223,1383112.2544319972,3135.0,1A,FRCC,0,AbsorptionChiller,129.28506838730215,0,1383112.2544319972,1.0,3.41249099914268,0.001088513875324619
6,miami,outpatient_healthcare,2215771.0834806184,3520614.0548636243,47092.52142757439,7438855.856231522,3804.0,1A,FRCC,0,AbsorptionChiller,582.4845119559985,0,7438855.856231522,1.0,3.3572312192766236,0.0008825528967604163
7,miami,primary_school,1356672.9030103134,2155602.5014497167,28833.82143197916,4729248.904269868,6871.0,1A,FRCC,0,AbsorptionChiller,197.4491199258206,0,4729248.904269868,1.0,3.4859168291606366,0.0005073376261331155
8,miami,quick_service_restaurant,134955.77569957165,214429.73250042996,2868.260086201576,467244.85993062594,232.0,1A,FRCC,0,AbsorptionChiller,581.705929739533,0,467244.85993062594,1.0,3.462207212018633,0.014923306948356177
9,miami,secondary_school,13001265.61455965,20657566.476467013,276320.23186144076,44718861.45012231,19592.0,1A,FRCC,0,AbsorptionChiller,663.6007357370177,0,44718861.45012231,1.0,3.4395775592834026,0.00017556030825252158
10,miami,small_hotel,882641.2277602147,1402418.8396634518,18759.068227330394,2978084.4384944844,4014.0,1A,FRCC,0,AbsorptionChiller,219.8906895267102,0,2978084.4384944844,1.0,3.3740599745738757,0.0008405729881848221
11,miami,small_office,77860.89656315124,123712.31342811788,1654.8035882888503,269755.7613765819,511.0,1A,FRCC,0,AbsorptionChiller,152.36966059325096,0,269755.7613765819,1.0,3.464585861245369,0.006780011470147493
12,miami,stand_alone_retail,494478.4787146058,785671.3606243168,10509.315934281065,1724233.4307668433,2294.0,1A,FRCC,0,AbsorptionChiller,215.55295497585257,0,1724233.4307668433,1.0,3.486973660105449,0.0015200408282935696
13,miami,strip_mall,395947.9090670562,629117.2332954352,8415.212894038516,1387413.6235644089,2090.0,1A,FRCC,0,AbsorptionChiller,189.44876031916564,0,1387413.6235644089,1.0,3.504030686343243,0.0016765697063843268
14,miami,supermarket,431613.59909479733,685786.051895064,9173.227692761417,1510582.2588608381,4181.0,1A,FRCC,0,AbsorptionChiller,103.23214520325217,0,1510582.2588608381,1.0,3.499848619294921,0.000837084099329089
15,miami,warehouse,417101.76681913476,662728.3628348473,8864.802884129362,1505610.1717887234,4835.0,1A,FRCC,0,AbsorptionChiller,86.26716997293377,0,1505610.1717887234,1.0,3.609695023041204,0.0007465760130385117
16,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,ERCT,0,AbsorptionChiller,412.26913945369114,0,836347.3008396006,1.0,3.5620240955409135,0.006254431969976319
