,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,Total_w4e_intensity_factor_(L/kWh),chp_id,Total_annual_water_consumption_L,percent_evaporation,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
20,atlanta,medium_office,490971.69680856995,780099.4738180602,10434.785129504771,1736731.5157058043,4982.0,3A,SRSO,AbsorptionChiller,98.54911617996186,0.0279,RE1,1776423.3161073516,0.9776563389808893,3.618178660103048,0.0007262502328589017
21,atlanta,midrise_apartment,190390.21539679018,302508.89779712254,4046.4267112331227,675359.5571061383,3135.0,3A,SRSO,AbsorptionChiller,60.73053122704631,0.0279,RE1,690751.3413516637,0.9777173299216376,3.6280821465119746,0.0011572829813435326
22,atlanta,outpatient_healthcare,1474836.239312145,2343350.913573765,31345.186206181068,4856387.413846394,3804.0,3A,SRSO,AbsorptionChiller,387.70668751633673,0.0279,RE1,4975618.127177251,0.9760370047935134,3.3736749847548158,0.0008868756531952723
23,atlanta,primary_school,581751.7807207332,924338.9404784988,12364.164512918005,2132793.5377059886,6871.0,3A,SRSO,AbsorptionChiller,84.66770204056661,0.0279,RE1,2179824.3048840305,0.978424514731455,3.7470006575372103,0.0005453355636060559
24,atlanta,quick_service_restaurant,55457.844426624295,88116.35281119213,1178.6640535471902,204063.22581834727,232.0,3A,SRSO,AbsorptionChiller,239.0424328733806,0.0279,RE1,208546.6241608385,0.978501697831208,3.7604531210506096,0.016208849659700902
25,atlanta,secondary_school,6420113.817731498,10200847.510395601,136448.81900618665,22867930.357016925,19592.0,3A,SRSO,AbsorptionChiller,327.6905786918894,0.0279,RE1,23386953.913496945,0.9778071330537628,3.6427631312244495,0.00018593115206331408
26,atlanta,small_hotel,493999.10115928575,784909.6829530863,10499.127563305397,1672218.3855585307,4014.0,3A,SRSO,AbsorptionChiller,123.06903367196955,0.0279,RE1,1712154.9314922632,0.976674689188948,3.4659069773088387,0.0008634546530415642
27,atlanta,small_office,29775.355804512154,47309.73200050265,632.8255620318986,108255.32511091532,511.0,3A,SRSO,AbsorptionChiller,58.26879805188288,0.0279,RE1,110662.4648445496,0.9782479114574608,3.716579092155796,0.007273148908328368
28,atlanta,stand_alone_retail,185250.8378786051,294342.9979626724,3937.1978077132876,690731.8792698794,2294.0,3A,SRSO,AbsorptionChiller,80.75450648587842,0.0279,RE1,705708.1789814366,0.9787783390392714,3.80947361460188,0.00166062494097728
29,atlanta,strip_mall,168569.13147156916,267837.62000482663,3582.655940875749,632462.0431315838,2090.0,3A,SRSO,AbsorptionChiller,80.655086828502,0.0279,RE1,646089.7376885685,0.9789074276187412,3.8327879609294775,0.0018338698377653002
30,atlanta,supermarket,183299.7360377032,291242.9139265729,3895.7303899213193,679807.1111357838,4181.0,3A,SRSO,AbsorptionChiller,43.841123185291366,0.0279,RE1,694625.6772237218,0.9786668322611327,3.7895617977368126,0.0009063768949382474
31,atlanta,warehouse,40339.670567919835,64095.25434680596,857.3524651368555,156096.2456280063,4835.0,3A,SRSO,AbsorptionChiller,8.34326175137949,0.0279,RE1,159357.44003667368,0.9795353489117491,3.9503902186896602,0.0008170403761509122
32,baltimore,full_service_restaurant,94354.6876052642,149919.1147505863,2005.3516272372092,338390.64542126225,569.52,4A,RFCE,AbsorptionChiller,165.6740546517492,0.0279,RE1,346018.5951619959,0.9779550872485264,3.6672114967893865,0.006439126802903123
33,baltimore,hospital,16332923.58797378,25951200.812002894,347129.06932306924,48007818.9704364,22422.0,4A,RFCE,AbsorptionChiller,728.4329492451067,0.0279,RE1,49328227.3508819,0.9732321948029238,3.0201713174733236,0.00013469678518746427
34,baltimore,large_hotel,3297171.8709036363,5238839.75043577,70075.89282960506,10050422.387676325,11345.0,4A,RFCE,AbsorptionChiller,290.6277541563364,0.0279,RE1,10316976.83193491,0.9741635123737509,3.129038229089161,0.00027580768876942803
35,baltimore,large_office,5800386.858040384,9216170.229997488,123277.55535621806,18953179.610415537,46320.0,4A,RFCE,AbsorptionChiller,125.22424132211538,0.0279,RE1,19422102.358748343,0.9758562312322698,3.348414999566072,7.22887521495266e-05
36,baltimore,medium_office,407672.0136246548,647745.5327591719,8664.389196235967,1404741.506132101,4982.0,4A,RFCE,AbsorptionChiller,81.82898707841325,0.0279,RE1,1437699.0804673801,0.9770761665058831,3.5266072539163194,0.0007078697819984584
37,baltimore,midrise_apartment,133634.22680022588,212329.93813813743,2840.172766927492,463473.6029993331,3135.0,4A,RFCE,AbsorptionChiller,42.626547623676515,0.0279,RE1,474277.04256916593,0.977221247076792,3.5490686325306315,0.001132079308622211
38,baltimore,outpatient_healthcare,1255467.9023741249,1994799.00043889,26682.877818458095,3967904.7969796318,3804.0,4A,RFCE,AbsorptionChiller,330.0388807502957,0.0279,RE1,4069401.0374258757,0.9750586782888211,3.24134215596474,0.0008520878433135489
39,baltimore,primary_school,437185.9414027138,694639.8846732018,9291.658541279025,1569928.514533125,6871.0,4A,RFCE,AbsorptionChiller,63.627702139821544,0.0279,RE1,1605272.0938826387,0.9779828108367418,3.671829173491062,0.0005343951642397121
40,baltimore,quick_service_restaurant,38096.9091924772,60531.75571693565,809.6863100374437,137855.31412074692,232.0,4A,RFCE,AbsorptionChiller,164.21081548481553,0.0279,RE1,140935.19616977926,0.9781468211437963,3.6993866210440243,0.015945631987258724
41,baltimore,secondary_school,5208023.774135944,8274971.107793776,110687.86527963573,18067606.88918043,19592.0,4A,RFCE,AbsorptionChiller,265.8239982715366,0.0279,RE1,18488641.0169585,0.9772274161528756,3.550030072592348,0.0001811979416390541
42,baltimore,small_hotel,386590.90839738835,614249.9988980736,8216.345439805838,1268283.1403477225,4014.0,4A,RFCE,AbsorptionChiller,96.31063985983765,0.0279,RE1,1299536.4473568734,0.9759504190338663,3.361528735230993,0.0008374511049404566
43,baltimore,small_office,22528.651074165053,35795.523373395576,478.80893082958806,81024.4125153072,511.0,4A,RFCE,AbsorptionChiller,44.0873797928866,0.0279,RE1,82845.70430781659,0.9780158572164187,3.677348636413509,0.007196376979282796
44,baltimore,stand_alone_retail,127906.93042862839,203229.90056993192,2718.4486280431197,468404.2454492529,2294.0,4A,RFCE,AbsorptionChiller,55.75716234900976,0.0279,RE1,478744.6711510774,0.9784009591648043,3.7429142388669487,0.0016316103918338923
45,baltimore,strip_mall,116625.24048155417,185304.5487651362,2478.6751110346263,428736.9730935878,2090.0,4A,RFCE,AbsorptionChiller,55.80155046964314,0.0279,RE1,438165.34910195303,0.9784821505678409,3.7570370469783056,0.0017976253813293329
46,baltimore,supermarket,125835.34628655232,199938.3835441886,2674.420559743529,458180.37823001615,4181.0,4A,RFCE,AbsorptionChiller,30.09694960214119,0.0279,RE1,468353.33011447644,0.9782793219769063,3.7219536794371115,0.0008902065724556593
47,baltimore,warehouse,27889.629316434264,44313.522136112224,592.7475884052818,107030.495853421,4835.0,4A,RFCE,AbsorptionChiller,5.768279072685473,0.0279,RE1,109285.18712645514,0.9793687385059312,3.918488334373726,0.0008104422615043901
48,chicago,full_service_restaurant,68745.04918880865,109228.24482221865,1461.0614454261456,246007.94551880396,569.52,5A,RFCW,AbsorptionChiller,120.70699745190451,0.0279,RE1,251565.52610589968,0.9779080199376914,3.6593984450425454,0.006425408142018797
49,chicago,hospital,13606340.421012893,21618963.113387167,289180.0884145925,39246875.042759284,22422.0,5A,RFCW,AbsorptionChiller,606.8299179829138,0.0279,RE1,40346857.2855176,0.9727368544475667,2.965298238695256,0.00013224949775645598
50,chicago,large_hotel,2960639.0400040993,4704126.474673179,62923.448396887026,8667838.298124865,11345.0,5A,RFCW,AbsorptionChiller,260.96421683597174,0.0279,RE1,8907186.298428616,0.9731286634988228,3.0085350419537407,0.00026518598871341916
51,chicago,large_office,3676505.0049129263,5841557.952250532,78137.98637108265,12546829.25155344,46320.0,5A,RFCW,AbsorptionChiller,79.37186970882829,0.0279,RE1,12844050.259971753,0.9768592459230251,3.493548966425506,7.54220415894971e-05
52,chicago,medium_office,281405.05396445055,447121.36352129147,5980.795413591106,983569.2810565837,4982.0,5A,RFCW,AbsorptionChiller,56.48435446897843,0.0279,RE1,1006319.0104331399,0.9773931237105774,3.576051660252934,0.0007177943918612875
53,chicago,midrise_apartment,102746.57848341212,163252.896923644,2183.7072813674436,353494.0132822416,3135.0,5A,RFCW,AbsorptionChiller,32.77402822437388,0.0279,RE1,361800.391657237,0.9770415439935047,3.5212889518812323,0.0011232181664692926
54,chicago,outpatient_healthcare,976166.6299806006,1551020.3120802857,20746.794775854294,3046971.0263281767,3804.0,5A,RFCW,AbsorptionChiller,256.6158333282336,0.0279,RE1,3125887.6141634793,0.974753862717991,3.202206998435913,0.0008417999470125954
55,chicago,primary_school,316393.7943632786,502714.5843772091,6724.422776200858,1131563.5810541918,6871.0,5A,RFCW,AbsorptionChiller,46.04770693687652,0.0279,RE1,1157141.9176788626,0.9778952466988846,3.6572838604737283,0.0005322782506874878
56,chicago,quick_service_restaurant,27837.908348107994,44231.34326421598,591.648345425123,100423.3805562116,232.0,5A,RFCW,AbsorptionChiller,119.99098425908618,0.0279,RE1,102673.89053251372,0.9780809905553404,3.688276046051856,0.015897741577809724
57,chicago,secondary_school,3869679.460327919,6148490.698076585,82243.58746350273,13558029.80789761,19592.0,5A,RFCW,AbsorptionChiller,197.51324317721105,0.0279,RE1,13870867.687872572,0.9774464087601039,3.5845004295774787,0.00018295735144842175
58,chicago,small_hotel,318329.0703395533,505789.52287284506,6765.553841616628,1026911.2671496626,4014.0,5A,RFCW,AbsorptionChiller,79.30470113093007,0.0279,RE1,1052646.0579819211,0.9755522849896993,3.306785826563346,0.0008238131107532003
59,chicago,small_office,17186.981580108182,27308.2040661718,365.2806485158987,60861.67851969626,511.0,5A,RFCW,AbsorptionChiller,33.6340148338712,0.0279,RE1,62251.131815715285,0.9776798709438362,3.621993281691959,0.00708804947493534
60,chicago,stand_alone_retail,88250.34608314835,140219.99433211287,1875.6140220871796,318856.6875156128,2294.0,5A,RFCW,AbsorptionChiller,38.47007239893128,0.0279,RE1,325991.1417924456,0.9781145762501263,3.6939361289903716,0.0016102598644247479
61,chicago,strip_mall,80446.3223363658,127820.26771222564,1709.7525040555659,291219.397145266,2090.0,5A,RFCW,AbsorptionChiller,38.491063318835316,0.0279,RE1,297722.94794049347,0.9781556952857818,3.7008894787712086,0.001770760516158473
62,chicago,supermarket,84912.2049619902,134916.05899516228,1804.667396125497,306266.59701422305,4181.0,5A,RFCW,AbsorptionChiller,20.30906600382449,0.0279,RE1,313131.184755053,0.9780775979045339,3.6877052585693892,0.000882015130009421
63,chicago,warehouse,18574.371537099592,29512.612553391573,394.76730973515555,69243.62013370136,4835.0,5A,RFCW,AbsorptionChiller,3.8416487150154275,0.0279,RE1,70745.2346919886,0.9787743363234995,3.808755227636388,0.0007877466861709179
64,denver,full_service_restaurant,64939.12165145914,103181.04884620746,1380.172798832346,289957.19841015036,569.52,5B,RMPA,AbsorptionChiller,114.02430406563272,0.0279,RE1,295207.095036771,0.982216224762597,4.545905265260665,0.00798199407441471
65,denver,hospital,10603665.525031984,16848046.33421748,225363.23795867994,34282802.72799795,22422.0,5B,RMPA,AbsorptionChiller,472.91345665114545,0.0279,RE1,35140038.65072048,0.9756051513988603,3.313952007234261,0.000147799126181173
66,denver,large_hotel,2542640.2527970057,4039972.846110799,54039.58083944577,8316111.800408948,11345.0,5B,RMPA,AbsorptionChiller,224.11989888030018,0.0279,RE1,8521667.375328999,0.9758784794258513,3.351503369757017,0.0002954167800579125
67,denver,large_office,2544008.9002910727,4042147.4749069214,54068.66916085291,10351507.899904039,46320.0,5B,RMPA,AbsorptionChiller,54.92247194065356,0.0279,RE1,10557174.120882727,0.9805188188975809,4.149818076373408,8.959020026712884e-05
68,denver,medium_office,251212.54224308179,399148.81711956346,5339.103897806303,1088648.7443958698,4982.0,5B,RMPA,AbsorptionChiller,50.424034974524645,0.0279,RE1,1108957.6097538772,0.9816865268975297,4.414419757277932,0.0008860738171974973
69,denver,midrise_apartment,88891.21466427414,141238.26329990124,1889.2346156647,369687.45441285224,3135.0,5B,RMPA,AbsorptionChiller,28.354454438364957,0.0279,RE1,376873.7186574918,0.9809319040068949,4.23971840277889,0.0013523822656391995
70,denver,outpatient_healthcare,932065.3335965892,1480948.252270132,19809.495223372804,3398293.698639203,3804.0,5B,RMPA,AbsorptionChiller,245.02243259636938,0.0279,RE1,3473644.9896052517,0.9783077167668156,3.726825646654394,0.0009797123151036788
71,denver,primary_school,255303.75812595658,405649.3045779092,5426.05587270369,1133782.07187419,6871.0,5B,RMPA,AbsorptionChiller,37.156710540817436,0.0279,RE1,1154421.6848603769,0.982121253215472,4.521757506956995,0.0006580930733455094
72,denver,quick_service_restaurant,25337.530955736234,40258.52140744754,538.5069912459142,115773.6224061129,232.0,5B,RMPA,AbsorptionChiller,109.21349549886308,0.0279,RE1,117821.9934790288,0.9826146968623436,4.650097662825144,0.020043524408729068
73,denver,secondary_school,2499227.711466768,3970995.141552757,53116.91962770702,10569905.024588821,19592.0,5B,RMPA,AbsorptionChiller,127.56368474207676,0.0279,RE1,10771950.983910652,0.9812433272650782,4.310111853548838,0.00021999345924606154
74,denver,small_hotel,284991.0912695219,452819.1783504623,6057.0106597816,1085567.592734828,4014.0,5B,RMPA,AbsorptionChiller,70.99927535364273,0.0279,RE1,1108607.2294072032,0.9792174937514209,3.8899715232107748,0.0009691010272074676
75,denver,small_office,14682.394108257515,23328.69286089811,312.0498161141663,63711.76995681947,511.0,5B,RMPA,AbsorptionChiller,28.732669487783784,0.0279,RE1,64898.74399249191,0.981710369682813,4.42017449701832,0.008650047939370489
76,denver,stand_alone_retail,71441.8560141265,113513.17122244519,1518.3775798202319,318780.1914593508,2294.0,5B,RMPA,AbsorptionChiller,31.14291892507694,0.0279,RE1,324555.7909647015,0.9822046019016224,4.5429361591687325,0.0019803557799340597
77,denver,strip_mall,63755.91860287251,101301.0706690086,1355.0257900397191,285133.11573614477,2090.0,5B,RMPA,AbsorptionChiller,30.50522421190072,0.0279,RE1,290287.3582557277,0.9822443438441356,4.553104474329523,0.002178518887239006
78,denver,supermarket,69289.41325778273,110093.17884292142,1472.630996438747,319095.79628872505,4181.0,5B,RMPA,AbsorptionChiller,16.572449954026006,0.0279,RE1,324697.38509485236,0.9827482786641755,4.686103833595123,0.0011208093359471713
79,denver,warehouse,20141.254034243066,32002.214743297318,428.0687857411128,96182.29392115967,4835.0,5B,RMPA,AbsorptionChiller,4.165719552066818,0.0279,RE1,97810.58052130505,0.983352653757221,4.85623091566259,0.0010043910890718904
80,duluth,full_service_restaurant,17927.122408818872,28484.205605123356,381.01110826209793,62990.376074508276,569.52,7,MROW,AbsorptionChiller,31.477599397420413,0.0279,RE1,64439.66484013417,0.9775093683491157,3.594534770869553,0.0063115163135088375
