,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,WC_2_mean,WC_2_std,W4C_mean,W4C_std,MuW_mean,MuW_std,%_evap_mean,%_evap_std
0,AZNM,2B,AbsorptionChiller,LC,3.285868580236318,5.389346864400609,1320.0700546305195,884.1088516147419,4.7345500954679975,0.30370372877694685,0.00462402937862151,0.0003023542889105473,0.9765898825709202,0.0060501074038655355
1,AZNM,2B,AbsorptionChiller,PoG,3.2115007658236543,5.433434370290215,1288.401204235373,888.8369711432682,4.624029378621519,0.3118262857694464,0.0046240293786215195,0.00031182628576944594,1.0,0.0
2,AZNM,2B,AirCooledChiller,LC,31.223766083515113,52.3255618063372,13296.353868716964,9710.85993327222,46.40277568260672,3.6692269098233666e-15,0.0,0.0,0.0,0.0
3,AZNM,2B,AirCooledChiller,PoG,2.371188852261019,3.9736971034057915,1009.7489836712106,737.4601371932683,3.5239100920199125,2.5639502485114184e-16,0.0,0.0,0.0,0.0
4,AZNM,2B,WaterCooledChiller,LC,22.901020543753866,38.41659021295127,9693.651472139145,7035.485737158414,33.92370987630041,0.23097944940571077,0.0027626992462406216,0.00023097944940566147,0.08139841902057908,0.006294020259698937
5,AZNM,2B,WaterCooledChiller,PoG,3.5255531803923996,5.946882136098677,1442.7867383348757,1013.0818547174891,5.129122336701723,0.23097944940566495,0.0027626992462406216,0.00023097944940566147,0.5377115048938013,0.021779927014610595
6,AZNM,3B,AbsorptionChiller,LC,3.353057674382717,5.511134592819188,907.8014719722149,675.8957957590305,4.791785794991733,0.38084751615646667,0.00468126507814525,0.0003797722892894264,0.9768098259335836,0.006134413362796066
7,AZNM,3B,AbsorptionChiller,PoG,3.2786898599700502,5.5590395208730765,885.8868071424927,678.8874427084256,4.681265078145256,0.39166959673033536,0.004681265078145257,0.0003916695967303358,1.0,0.0
8,AZNM,3B,AirCooledChiller,LC,31.223766083515113,52.3255618063372,9201.001452667162,7717.7888741801025,46.40277568260672,4.1023203976182695e-15,0.0,0.0,0.0,0.0
9,AZNM,3B,AirCooledChiller,PoG,2.371188852261019,3.9736971034057915,698.7405688296689,586.1027428148067,3.523910092019912,2.293266818639604e-16,0.0,0.0,0.0,0.0
10,AZNM,3B,WaterCooledChiller,LC,22.96140016888181,38.526660039214,6707.448737148093,5573.199792537323,33.983408013725246,0.2872311234429189,0.0028223973836653798,0.00028723112344296477,0.08299025117982005,0.007820464009675666
11,AZNM,3B,WaterCooledChiller,PoG,3.5859328055203057,6.0569325904594535,997.8971449551356,787.6337538874492,5.188820474126487,0.2872311234429615,0.0028223973836653798,0.00028723112344296477,0.5425389538211638,0.027002585073582493
12,AZNM,4B,AbsorptionChiller,LC,3.048302241383375,5.042145480770284,484.5092460320459,442.2197729935577,4.33349027403903,0.39072203724792176,0.00422296955719256,0.00038967555080624884,0.9743104726596148,0.006874389374797655
13,AZNM,4B,AbsorptionChiller,PoG,2.9739344269707004,4.9964718929829655,471.15350724460365,435.0236148016738,4.222969557192558,0.3956294689897753,0.004222969557192557,0.0003956294689897755,1.0,0.0
14,AZNM,4B,AirCooledChiller,LC,31.22376608351511,51.474682956758976,5607.485806388966,5884.116710531843,46.40277568260672,3.609560707223821e-15,0.0,0.0,0.0,0.0
15,AZNM,4B,AirCooledChiller,PoG,2.371188852261019,3.909079835990064,425.8425392297506,446.85038672443824,3.5239100920199142,3.383963163022332e-16,0.0,0.0,0.0,0.0
16,AZNM,4B,WaterCooledChiller,LC,22.71648831105025,37.51875591612823,4034.140649562021,4188.588783365608,33.61696666402894,0.28757994856232727,0.0024559560339690884,0.00028757994856234005,0.07299083118221812,0.007989319604752033
17,AZNM,4B,WaterCooledChiller,PoG,3.341020947688719,5.5772838548881065,554.4944742223389,538.3295307093699,4.822379124430193,0.2875799485623389,0.0024559560339690884,0.00028757994856234005,0.5074891467031484,0.031103984862952263
18,AZNM,5B,AbsorptionChiller,LC,3.054832195617039,5.0954376027552355,398.5346083478222,396.401865070936,4.290466793836842,0.44957006898672813,0.00417994607699037,0.0004486595681341399,0.9739652281578984,0.00717150360644689
19,AZNM,5B,AbsorptionChiller,PoG,2.9804643812043885,5.130335698165893,387.1659417682196,395.45424933476943,4.179946076990365,0.46271494017927955,0.004179946076990366,0.0004627149401792798,1.0,0.0
20,AZNM,5B,AirCooledChiller,LC,31.223766083515113,52.3255618063372,4773.201804670362,5640.29660304954,46.40277568260672,4.1023203976182695e-15,0.0,0.0,0.0,0.0
21,AZNM,5B,AirCooledChiller,PoG,2.371188852261019,3.9736971034057915,362.48551435313937,428.3342500331525,3.5239100920199125,3.0337068460183277e-16,0.0,0.0,0.0,0.0
22,AZNM,5B,WaterCooledChiller,LC,22.72430961332834,38.18361792311884,3423.886584389951,3999.0688599634095,33.587440927559115,0.3387344164023684,0.00242643029749929,0.000338734416402345,0.07215293334959313,0.009440761106695447
23,AZNM,5B,WaterCooledChiller,PoG,3.3488422499668555,5.714387091083708,461.943571565599,500.09905917344935,4.7928533879603945,0.33873441640234675,0.00242643029749929,0.000338734416402345,0.5037741998642534,0.03760090108103714
24,AZNM,6B,AbsorptionChiller,LC,2.9129461376471824,4.871207419776179,262.44775297079985,336.85231974703504,4.063998518419106,0.48736368647954276,0.003953477801572632,0.0004865239192974091,0.9724035139113131,0.007842154405789824
25,AZNM,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,254.10204112027532,334.8218811948154,3.9534778015726317,0.5017654859110966,0.003953477801572632,0.0005017654859110967,1.0,0.0
