,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,percent_diff-mean,percent_diff-std
0,AZNM,2B,AirCooledChiller,PoG,2.31156042671152,3.873770308599564,0.0,0.0
1,AZNM,2B,WaterCooledChiller,PoG,3.5255531803923996,5.946882136098677,49.30664336289182,6.723716849141863
2,AZNM,3B,AirCooledChiller,PoG,2.31156042671152,3.873770308599564,0.0,0.0
3,AZNM,3B,WaterCooledChiller,PoG,3.5859328055203057,6.0569325904594535,51.044431609842114,8.361179963239572
4,AZNM,4B,AirCooledChiller,PoG,2.3115604267115195,3.810777975408556,0.0,0.0
5,AZNM,4B,WaterCooledChiller,PoG,3.341020947688719,5.5772838548881065,40.37747451251823,8.37133411911455
6,AZNM,5B,AirCooledChiller,PoG,2.31156042671152,3.873770308599564,0.0,0.0
7,AZNM,5B,WaterCooledChiller,PoG,3.3488422499668555,5.714387091083708,39.51799245774991,9.860419655556049
8,AZNM,6B,AirCooledChiller,PoG,2.31156042671152,3.873770308599564,0.0,0.0
9,AZNM,6B,WaterCooledChiller,PoG,3.244656419491026,5.542127492492118,34.75196549745492,10.593748395222716
10,CAMX,2B,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
11,CAMX,2B,WaterCooledChiller,PoG,3.5078303031655245,5.917182772476162,50.21181523832841,6.799395047439651
12,CAMX,3B,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
13,CAMX,3B,WaterCooledChiller,PoG,3.5682099282934434,6.027233096986422,51.96916300667712,8.455288482302802
14,CAMX,3B-CA,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
15,CAMX,3B-CA,WaterCooledChiller,PoG,2.724222857074724,4.623535695960122,17.110794676769796,2.3722940451687182
16,CAMX,3C,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
17,CAMX,3C,WaterCooledChiller,PoG,2.849162977112517,4.904400139072067,19.71022587584843,6.08987268428957
18,CAMX,4B,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
19,CAMX,4B,WaterCooledChiller,PoG,3.3232980704618504,5.6397787887674085,41.1821449203791,8.605492968276478
20,CAMX,4C,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
21,CAMX,4C,WaterCooledChiller,PoG,2.905427238835183,4.9613434014511615,22.56458837975595,7.466451320908187
22,CAMX,5B,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
23,CAMX,5B,WaterCooledChiller,PoG,3.3311193727399933,5.684690696828835,40.31298904161805,9.971402733916845
24,CAMX,6B,AirCooledChiller,PoG,2.285832442510097,3.8306547144113763,0.0,0.0
25,CAMX,6B,WaterCooledChiller,PoG,3.2269335422641623,5.512431962101428,35.49331848782702,10.712985390144292
26,ERCT,2A,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
27,ERCT,2A,WaterCooledChiller,PoG,2.0702421045371207,3.478158305753432,75.98774960470935,7.699290150432583
28,ERCT,2B,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
29,ERCT,2B,WaterCooledChiller,PoG,2.732113599927977,4.617278005675397,129.17873398864043,13.4015380201557
30,ERCT,3A,AirCooledChiller,PoG,1.1597383647713306,1.911914292456674,0.0,0.0
31,ERCT,3A,WaterCooledChiller,PoG,2.114133228521634,3.50723528481626,78.40516153600122,8.489689307290988
32,ERCT,3B,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
33,ERCT,3B,WaterCooledChiller,PoG,2.792493225055884,4.7273207331495035,132.64244844673388,16.6652870257283
34,ERCT,4B,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
35,ERCT,4B,WaterCooledChiller,PoG,2.547581367224319,4.339963044821971,111.38134624592662,16.96133852963332
36,FRCC,1A,AirCooledChiller,PoG,2.1393808401328354,3.585227485955589,0.0,0.0
37,FRCC,1A,WaterCooledChiller,PoG,2.680467884627622,4.492445609224858,24.919963907600273,1.8072134859131512
38,FRCC,2A,AirCooledChiller,PoG,2.1393808401328354,3.585227485955589,0.0,0.0
39,FRCC,2A,WaterCooledChiller,PoG,2.745074737406333,4.60903670211376,26.944676300085842,4.173713254533702
40,MROE,5A,AirCooledChiller,PoG,0.9750906012335019,1.6340810197320073,0.0,0.0
41,MROE,5A,WaterCooledChiller,PoG,1.945308175090813,3.295761814347062,93.8571727855211,11.64371166110222
42,MROE,6A,AirCooledChiller,PoG,0.9750906012335019,1.6340810197320073,0.0,0.0
43,MROE,6A,WaterCooledChiller,PoG,1.964787668819029,3.3273239577745963,95.95323629668378,12.063061838658147
44,MROE,7,AirCooledChiller,PoG,0.9750906012335019,1.6340810197320073,0.0,0.0
45,MROE,7,WaterCooledChiller,PoG,1.910605959964963,3.244593634896703,89.079976301799,13.281204375619652
46,MROW,5A,AirCooledChiller,PoG,1.2824410586549926,2.1491465410723576,0.0,0.0
47,MROW,5A,WaterCooledChiller,PoG,2.1570283930394565,3.6505521684269144,63.90642481470357,8.853173974408849
48,MROW,6A,AirCooledChiller,PoG,1.2824410586549926,2.1491465410723576,0.0,0.0
49,MROW,6A,WaterCooledChiller,PoG,2.176507886767697,3.682117168146121,65.50014470969332,9.172022481328124
50,MROW,6B,AirCooledChiller,PoG,1.2824410586549926,2.1491465410723576,0.0,0.0
51,MROW,6B,WaterCooledChiller,PoG,2.535741330416293,4.354358485282724,87.60768795906661,19.09490451484591
52,MROW,7,AirCooledChiller,PoG,1.2824410586549926,2.1491465410723576,0.0,0.0
53,MROW,7,WaterCooledChiller,PoG,2.122326177913613,3.5993801606549822,60.27413359938115,10.09822437633019
54,NEWE,4A,AirCooledChiller,PoG,1.5990931719031551,2.679800008003802,0.0,0.0
55,NEWE,4A,WaterCooledChiller,PoG,2.3884579516198783,4.027793435355452,46.0342441198652,7.007565498132023
56,NEWE,5A,AirCooledChiller,PoG,1.5990931719031551,2.679800008003802,0.0,0.0
57,NEWE,5A,WaterCooledChiller,PoG,2.3751561127547722,4.016082789651167,45.09042062579038,7.100070217105874
58,NEWE,6A,AirCooledChiller,PoG,1.5990931719031551,2.679800008003802,0.0,0.0
59,NEWE,6A,WaterCooledChiller,PoG,2.394635606483019,4.047650185875389,46.36855242276649,7.355780405807199
60,NEWE,7,AirCooledChiller,PoG,1.5990931719031551,2.679800008003802,0.0,0.0
61,NEWE,7,WaterCooledChiller,PoG,2.340453897628929,3.964907591548728,42.17739499766024,8.098575984966955
62,NWPP,3B,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
63,NWPP,3B,WaterCooledChiller,PoG,3.5136779983646127,5.93585009938806,54.949739126704394,8.758617217098966
64,NWPP,4B,AirCooledChiller,PoG,2.206669414198063,3.6378573994696395,0.0,0.0
65,NWPP,4B,WaterCooledChiller,PoG,3.268766140533035,5.458177134920234,43.77574281310105,8.769254036883735
66,NWPP,4C,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
67,NWPP,4C,WaterCooledChiller,PoG,2.850895308906366,4.869971417369073,24.490291867431736,7.734306076815208
68,NWPP,5B,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
69,NWPP,5B,WaterCooledChiller,PoG,3.276587442811165,5.5933174453373065,42.87540645438207,10.329121217654485
70,NWPP,6A,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
71,NWPP,6A,WaterCooledChiller,PoG,2.8131681686867442,4.749021330505832,25.034682225489142,5.330466877039879
72,NWPP,6B,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
73,NWPP,6B,WaterCooledChiller,PoG,3.1724016123353462,5.421061436572334,37.882832921085225,11.097307735980964
74,NWPP,7,AirCooledChiller,PoG,2.2066694141980623,3.697991347678521,0.0,0.0
75,NWPP,7,WaterCooledChiller,PoG,2.758986459832666,4.666270550153575,21.997502674384222,5.868743852786786
76,NYCW,4A,AirCooledChiller,PoG,1.1439057591089348,1.9169856492898438,0.0,0.0
77,NYCW,4A,WaterCooledChiller,PoG,2.0748993545291374,3.5023406477915184,76.7335301157331,9.796043118502903
78,NYCW,5A,AirCooledChiller,PoG,1.1439057591089348,1.9169856492898438,0.0,0.0
79,NYCW,5A,WaterCooledChiller,PoG,2.0615975156640243,3.4906333924792796,75.41413671916793,9.925357673743356
80,NYLI,4A,AirCooledChiller,PoG,0.8648560843089969,1.4493472815565038,0.0,0.0
81,NYLI,4A,WaterCooledChiller,PoG,1.8826743015300291,3.180217937229334,111.53114483006345,12.956780143018014
82,NYUP,4A,AirCooledChiller,PoG,1.4664950994805006,2.457588868726266,0.0,0.0
83,NYUP,4A,WaterCooledChiller,PoG,2.297116968989097,3.8747262921449286,53.00989717082649,7.641178033059076
84,NYUP,5A,AirCooledChiller,PoG,1.4664950994805006,2.457588868726266,0.0,0.0
85,NYUP,5A,WaterCooledChiller,PoG,2.283815130123991,3.8630165374717707,51.980734710355485,7.74204687640384
86,NYUP,6A,AirCooledChiller,PoG,1.4664950994805006,2.457588868726266,0.0,0.0
87,NYUP,6A,WaterCooledChiller,PoG,2.3032946238522123,3.89458298737489,53.37443308005772,8.020877959383807
88,RFCE,4A,AirCooledChiller,PoG,1.4684741751882853,2.4609054528945813,0.0,0.0
89,RFCE,4A,WaterCooledChiller,PoG,2.2984802672373283,3.8770108738518303,52.896522112192756,7.6308799494609305
90,RFCE,5A,AirCooledChiller,PoG,1.4684741751882853,2.4609054528945813,0.0,0.0
91,RFCE,5A,WaterCooledChiller,PoG,2.2851784283722094,3.865301105353268,51.86874666311752,7.731612850966983
92,RFCE,6A,AirCooledChiller,PoG,1.4684741751882853,2.4609054528945813,0.0,0.0
93,RFCE,6A,WaterCooledChiller,PoG,2.3046579221004193,3.896867569951773,53.2605667331289,8.01006815081488
94,RFCM,5A,AirCooledChiller,PoG,1.3022318157330084,2.18231238275558,0.0,0.0
95,RFCM,5A,WaterCooledChiller,PoG,2.170661375521676,3.6733977551561696,62.46233938682683,8.718627257490533
96,RFCM,6A,AirCooledChiller,PoG,1.3022318157330084,2.18231238275558,0.0,0.0
97,RFCM,6A,WaterCooledChiller,PoG,2.1901408692499045,3.7049629191676443,64.03183861472414,9.032630042402886
98,RFCW,4A,AirCooledChiller,PoG,1.2962945886096089,2.172362630250602,0.0,0.0
99,RFCW,4A,WaterCooledChiller,PoG,2.179873319642132,3.6782525781928674,64.05522425765753,8.644447209925483
100,RFCW,5A,AirCooledChiller,PoG,1.2962945886096089,2.172362630250602,0.0,0.0
101,RFCW,5A,WaterCooledChiller,PoG,2.166571480777001,3.666544077955129,62.8909351229708,8.758559901419105
102,RFCW,6A,AirCooledChiller,PoG,1.2962945886096089,2.172362630250602,0.0,0.0
103,RFCW,6A,WaterCooledChiller,PoG,2.186050974505248,3.6981091929021535,64.4676228969526,9.074000867027046
104,RFCW,7,AirCooledChiller,PoG,1.2962945886096089,2.172362630250602,0.0,0.0
105,RFCW,7,WaterCooledChiller,PoG,2.1318692656511757,3.615371916331223,59.297462287058195,9.990304421167645
106,RMPA,4A,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
107,RMPA,4A,WaterCooledChiller,PoG,1.926299845473076,3.25332357822753,101.79840001679312,12.072735442434645
108,RMPA,4B,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
109,RMPA,4B,WaterCooledChiller,PoG,2.3880754721825066,4.072701693376765,146.92932467337374,21.19263193681663
110,RMPA,5A,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
111,RMPA,5A,WaterCooledChiller,PoG,1.9129980066079757,3.2416183202595112,100.17236721676497,12.232103913499333
