,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,PoG_annual_water_consumption_L,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm,MakeupWater_kg,percent_evaporation
30,houston,supermarket,343831.0932244791,4181.0,2A,ERCT,0.053,5.86,82.23656857796678,AirCooledChiller,103735.43316472444,0,607889.6383452852,1.7679891386332782,0.0004228627454277154,0,0
31,houston,warehouse,83300.38506025884,4835.0,2A,ERCT,0.053,5.86,17.228621522287245,AirCooledChiller,25132.111950598533,0,147274.17603050743,1.7679891386332784,0.0003656647649706884,0,0
32,houston,full_service_restaurant,234795.52030166617,569.52,2A,FRCC,0.053,10.81,412.26913945369114,AirCooledChiller,70838.89585206402,0,765768.4641608121,3.2614270629054163,0.005726624285197037,0,0
33,houston,hospital,18556071.28920018,22422.0,2A,FRCC,0.053,10.81,827.5832347337516,AirCooledChiller,5598452.644199783,0,60519273.08379966,3.2614270629054163,0.00014545656332643904,0,0
34,houston,large_hotel,3829362.368251737,11345.0,2A,FRCC,0.053,10.81,337.537449823864,AirCooledChiller,1155336.3609146893,0,12489186.061487792,3.2614270629054163,0.00028747704388765237,0,0
35,houston,large_office,8672765.267591411,46320.0,2A,FRCC,0.053,10.81,187.23586501708573,AirCooledChiller,2616613.446248729,0,28285591.35394876,3.261427062905416,7.04107742423449e-05,0,0
36,houston,medium_office,729910.741203094,4982.0,2A,FRCC,0.053,10.81,146.50958273847732,AirCooledChiller,220217.4509588457,0,2380550.644865122,3.261427062905416,0.000654642124228305,0,0
37,houston,midrise_apartment,286310.58942129154,3135.0,2A,FRCC,0.053,10.81,91.32714176117753,AirCooledChiller,86381.23078029614,0,933781.1047350013,3.261427062905416,0.0010403276117720624,0,0
38,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,FRCC,0.053,10.81,486.356072288767,AirCooledChiller,558183.2852576466,0,6033961.31363516,3.261427062905416,0.0008573677873042628,0,0
39,houston,primary_school,978606.1960831732,6871.0,2A,FRCC,0.053,10.81,142.4255852253199,AirCooledChiller,295250.02144612256,0,3191652.731832585,3.261427062905416,0.0004746655600211637,0,0
40,houston,quick_service_restaurant,96539.23317992152,232.0,2A,FRCC,0.053,10.81,416.1173843962134,AirCooledChiller,29126.333739605227,0,314855.6677251325,3.261427062905416,0.014057875271144033,0,0
41,houston,secondary_school,9826665.830957824,19592.0,2A,FRCC,0.053,10.81,501.5652220782883,AirCooledChiller,2964750.590121534,0,32048953.879213788,3.2614270629054163,0.0001664672857750825,0,0
42,houston,small_hotel,672384.7755477133,4014.0,2A,FRCC,0.053,10.81,167.50990920471182,AirCooledChiller,202861.600708316,0,2192933.903656896,3.2614270629054163,0.0008125129703301984,0,0
43,houston,small_office,53903.80669190545,511.0,2A,FRCC,0.053,10.81,105.48690154971712,AirCooledChiller,16263.028116429461,0,175803.33393860247,3.261427062905416,0.006382440436214121,0,0
44,houston,stand_alone_retail,347604.700222829,2294.0,2A,FRCC,0.053,10.81,151.52776818780688,AirCooledChiller,104873.94787232736,0,1133687.376499859,3.2614270629054163,0.0014217206028358396,0,0
45,houston,strip_mall,283609.45215008274,2090.0,2A,FRCC,0.053,10.81,135.6983024641544,AirCooledChiller,85566.28515615712,0,924971.5425380585,3.261427062905416,0.0015604914176580937,0,0
46,houston,supermarket,343831.0932244791,4181.0,2A,FRCC,0.053,10.81,82.23656857796678,AirCooledChiller,103735.43316472444,0,1121380.0325106713,3.2614270629054163,0.0007800590918214342,0,0
47,houston,warehouse,83300.38506025884,4835.0,2A,FRCC,0.053,10.81,17.228621522287245,AirCooledChiller,25132.111950598533,0,271678.13018597016,3.261427062905416,0.0006745454111490002,0,0
48,houston,full_service_restaurant,234795.52030166617,569.52,2A,SPSO,0.053,4.27,412.26913945369114,AirCooledChiller,70838.89585206402,0,302482.08528831333,1.2882787750791975,0.0022620430802767198,0,0
49,houston,hospital,18556071.28920018,22422.0,2A,SPSO,0.053,4.27,827.5832347337516,AirCooledChiller,5598452.644199783,0,23905392.79073307,1.2882787750791973,5.7456015301007816e-05,0,0
50,houston,large_hotel,3829362.368251737,11345.0,2A,SPSO,0.053,4.27,337.537449823864,AirCooledChiller,1155336.3609146893,0,4933286.261105723,1.2882787750791975,0.00011355476201667673,0,0
51,houston,large_office,8672765.267591411,46320.0,2A,SPSO,0.053,4.27,187.23586501708573,AirCooledChiller,2616613.446248729,0,11172939.41548207,1.2882787750791973,2.781258149998267e-05,0,0
52,houston,medium_office,729910.741203094,4982.0,2A,SPSO,0.053,4.27,146.50958273847732,AirCooledChiller,220217.4509588457,0,940328.515594271,1.2882787750791973,0.000258586667017101,0,0
